""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"ILMN_1731518"	"PLD6"	1.96261492271428	1.59831589960119	2.32691394582738	7.41944342303067	10.6404389099815	2.77494355484226e-20	6.89295979022819e-16	35.0294169668242	"up"
"ILMN_2271379"	"ENTR1"	0.356896831809522	0.277943215743036	0.435850447876008	7.13375733969939	8.92797817457445	1.03880481543588e-15	1.29019558077137e-11	24.9942278645682	"no_sig"
"ILMN_1758674"	"EMC6"	0.865135737952381	0.666529701221878	1.06374177468288	9.28777671883436	8.6034821176535	7.21848608035129e-15	5.03820483613672e-11	23.145074862504	"up"
"ILMN_1683390"	"AC055811.2"	0.831805161142853	0.637076519805068	1.02653380248064	7.33507646664417	8.43673153508455	1.93650132827814e-14	9.62053859888582e-11	22.203749266724	"up"
"ILMN_1740426"	"RASD1"	0.281309559285713	0.214815454904348	0.347803663667078	7.14179272448466	8.35571853389623	3.1200813646632e-14	1.29171368497056e-10	21.748772694087	"no_sig"
"ILMN_1674488"	"KCNN1"	0.239387148952379	0.179795703472824	0.298978594431934	7.11301044746626	7.93413096754681	3.63081696485875e-13	8.90686490814567e-10	19.4080628407625	"no_sig"
"ILMN_1752995"	"FAM83A"	0.281111694666666	0.211001122750957	0.351222266582374	7.1062562685092	7.91913699697625	3.95835044876625e-13	8.90686490814567e-10	19.325699958568	"no_sig"
"ILMN_1791770"	"SMARCC2"	-0.55320907757143	-0.691538266371416	-0.414879888771444	7.52473355509202	-7.89874185087949	4.45133317431481e-13	8.90686490814567e-10	19.2137709161485	"down"
"ILMN_2369924"	"NDUFB6"	0.911602156619045	0.683425627435732	1.13977868580236	8.64965653566258	7.89072352456286	4.66140272970586e-13	8.90686490814567e-10	19.1697987784463	"up"
"ILMN_1912505"	"LINC01340"	0.271495296857142	0.201874288244211	0.341116305470074	7.12435188176687	7.70201664034844	1.37214981876548e-12	2.43458582129533e-09	18.1403852331339	"no_sig"
"ILMN_1693045"	"TMED1"	0.769383248619045	0.568841986452175	0.969924510785915	8.30036525198773	7.57742131101633	2.78194554263463e-12	4.31897045494027e-09	17.4666379795631	"up"
"ILMN_1745885"	"POLR2F"	1.03271924866667	0.758401123404252	1.30703737392908	9.32173575072393	7.43550072643257	6.18448096715973e-12	9.03661807201457e-09	16.7052373850448	"up"
"ILMN_1677402"	"C11orf96"	0.322790599904759	0.236794910650238	0.40878628915928	7.19694855461963	7.41355732238537	6.99337963268535e-12	9.30627798530697e-09	16.5881024462441	"no_sig"
"ILMN_1705689"	"ADAM12"	0.271412894857141	0.198701697304358	0.344124092409924	7.08440388638037	7.37244654459537	8.80053581348029e-12	1.09302654803425e-08	16.3690861450975	"no_sig"
"ILMN_1721977"	"NAA10"	0.745309761571424	0.544312984682468	0.94630653846038	8.22220625314724	7.3236936370674	1.15493867662234e-11	1.36612746320471e-08	16.1101001973687	"up"
"ILMN_1702341"	"AC138894.1"	0.336662519476191	0.243866598733719	0.429458440218664	7.19751578901227	7.1655302962131	2.7734782712254e-11	2.99535653292344e-08	15.2755961671141	"no_sig"
