Gene name	Gene type	ILLUMINA HumanHT 12 V3 probe
NOTCH2	protein_coding	ILMN_1777845
NOTCH2	protein_coding	ILMN_2405297
NOTCH2	protein_coding	ILMN_1656254
NOTCH2	protein_coding	ILMN_1685445
NOTCH2	protein_coding	ILMN_1685445
NOTCH2	protein_coding	ILMN_1685445
SEC22B	protein_coding	ILMN_1784238
SEC22B	protein_coding	ILMN_1784238
NBPF8	transcribed_unprocessed_pseudogene	ILMN_2204664
NBPF8	transcribed_unprocessed_pseudogene	ILMN_1698067
NBPF8	transcribed_unprocessed_pseudogene	ILMN_1673883
NBPF8	transcribed_unprocessed_pseudogene	ILMN_1776838
NBPF8	transcribed_unprocessed_pseudogene	ILMN_2204664
NBPF8	transcribed_unprocessed_pseudogene	ILMN_1776838
AC241952.1	transcribed_unprocessed_pseudogene	ILMN_1659430
AC241952.1	transcribed_unprocessed_pseudogene	ILMN_1772646
NBPF26	protein_coding	ILMN_1698067
NBPF26	protein_coding	ILMN_1673883
NBPF26	protein_coding	ILMN_2204664
NBPF26	protein_coding	ILMN_2204664
NBPF26	protein_coding	ILMN_2204664
NBPF26	protein_coding	ILMN_2204664
PPIAL4A	protein_coding	ILMN_1776260
AC241377.3	TEC	ILMN_1704014
AC241377.3	TEC	ILMN_1704014
AC241377.4	transcribed_unprocessed_pseudogene	ILMN_1733174
AC241377.4	transcribed_unprocessed_pseudogene	ILMN_1812250
FCGR1B	protein_coding	ILMN_1654389
FCGR1B	protein_coding	ILMN_2391051
FCGR1B	protein_coding	ILMN_1654389
FCGR1B	protein_coding	ILMN_1654389
AC244453.3	lncRNA	ILMN_1670093
H2BP1	transcribed_unprocessed_pseudogene	ILMN_1670093
H3P4	unprocessed_pseudogene	ILMN_1664706
FAM72B	protein_coding	ILMN_1723433
FAM72B	protein_coding	ILMN_1701882
FAM72B	protein_coding	ILMN_1723433
FAM72B	protein_coding	ILMN_1701882
FAM72B	protein_coding	ILMN_1701882
FAM72B	protein_coding	ILMN_1701882
SRGAP2C	protein_coding	ILMN_1755910
AC243994.1	processed_pseudogene	ILMN_1687724
EMBP1	transcribed_unprocessed_pseudogene	ILMN_1774779
EMBP1	transcribed_unprocessed_pseudogene	ILMN_1774779
AC239859.5	unprocessed_pseudogene	ILMN_2355225
