Gene stable ID	Gene type	Gene name	NCBI gene (formerly Entrezgene) ID
ENSMUSG00000066372	protein_coding	Vmn2r65	100009609
ENSMUSG00000094012	protein_coding	Gm10024	100009614
ENSMUSG00000050810	protein_coding	Oog3	100012
ENSMUSG00000037295	protein_coding	Ldlrap1	100017
ENSMUSG00000058006	protein_coding	Mdn1	100019
ENSMUSG00000066677	protein_coding	Ifi208	100033459
ENSMUSG00000069792	protein_coding	Wfdc17	100034251
ENSMUSG00000048222	protein_coding	Mfap1b	100034361
ENSMUSG00000025727	protein_coding	A930017K11Rik	100034748
ENSMUSG00000069280	protein_coding	Vmn1r223	100036518
ENSMUSG00000089862	protein_coding	Umad1	100036521
ENSMUSG00000022136	protein_coding	Dnajc3	100037258
ENSMUSG00000043243	protein_coding	Fam129c	100037278
ENSMUSG00000023806	protein_coding	Rsph3b	100037282
ENSMUSG00000078670	protein_coding	Fam174b	100038347
ENSMUSG00000073551	protein_coding	Spink13	100038417
ENSMUSG00000079042	protein_coding	Apela	100038489
ENSMUSG00000086587	antisense	Gm11837	100038514
ENSMUSG00000074826	protein_coding	Gm10767	100038538
ENSMUSG00000075410	protein_coding	Prcd	100038570
ENSMUSG00000074517	lincRNA	Gm10710	100038599
ENSMUSG00000091060	protein_coding	Myocos	100038657
ENSMUSG00000038594	protein_coding	Cep85l	100038725
ENSMUSG00000093985	protein_coding	Gm10406	100038847
ENSMUSG00000079594	protein_coding	Cstdc6	100038854
ENSMUSG00000094891	protein_coding	Olfr55	100038859
ENSMUSG00000093884	protein_coding	Olfr239	100038860
ENSMUSG00000062638	protein_coding	Btnl1	100038862
ENSMUSG00000035692	protein_coding	Isg15	100038882
ENSMUSG00000074444	protein_coding	Defa30	100038927
ENSMUSG00000072049	protein_coding	Vmn2r121	100038941
ENSMUSG00000091049	protein_coding	Gm1979	100038949
ENSMUSG00000060565	protein_coding	Gm5591	100038967
ENSMUSG00000073267	protein_coding	Gm1993	100038977
ENSMUSG00000082639	protein_coding	Gm2012	100039030
ENSMUSG00000072905	protein_coding	Gm2016	100039042
ENSMUSG00000073116	protein_coding	Gm10471	100039045
ENSMUSG00000113971	protein_coding	Gm2022	100039052
ENSMUSG00000078886	protein_coding	Gm2026	100039060
ENSMUSG00000083628	protein_coding	Gm2030	100039065
ENSMUSG00000096276	protein_coding	Gm2042	100039087
ENSMUSG00000071788	protein_coding	Gm14525	100039120
ENSMUSG00000078877	protein_coding	Gm14295	100039123
ENSMUSG00000091119	protein_coding	Ccdc152	100039139
ENSMUSG00000066027	protein_coding	Gm10436	100039315
ENSMUSG00000067441	protein_coding	H2ab1	100039319
ENSMUSG00000092036	protein_coding	Gm2244	100039452
ENSMUSG00000094739	protein_coding	Gm20806	100039574
ENSMUSG00000099032	protein_coding	Tcf24	100039596
ENSMUSG00000093868	protein_coding	Gm20809	100039614
ENSMUSG00000078719	protein_coding	Msmp	100039672
ENSMUSG00000079427	protein_coding	Mthfsl	100039707
ENSMUSG00000101053	protein_coding	Gm20815	100039753
ENSMUSG00000071001	protein_coding	Hrct1	100039781
ENSMUSG00000040612	protein_coding	Ildr2	100039795
ENSMUSG00000061974	protein_coding	Cldn24	100039801
ENSMUSG00000112022	unprocessed_pseudogene	Gm2436	100039815
ENSMUSG00000105993	protein_coding	Tex13c2	100039899
ENSMUSG00000079638	protein_coding	Rhox2b	100039913
ENSMUSG00000079637	protein_coding	Rhox2c	100039948
ENSMUSG00000095276	protein_coding	Gfy	100039953
ENSMUSG00000096788	protein_coding	Rhox2e	100040016
ENSMUSG00000095172	protein_coding	Gm20822	100040022
ENSMUSG00000093950	protein_coding	Gm20823	100040031
ENSMUSG00000109305	protein_coding	Smim38	100040049
ENSMUSG00000094081	protein_coding	Gm20826	100040160
ENSMUSG00000068075	protein_coding	Gm10229	100040201
ENSMUSG00000096525	protein_coding	Gm2663	100040208
ENSMUSG00000068074	protein_coding	Gm10228	100040214
ENSMUSG00000094325	protein_coding	Gm20831	100040223
ENSMUSG00000069718	protein_coding	Gm11563	100040248
ENSMUSG00000111611	protein_coding	Olfr157	100040268
ENSMUSG00000078668	protein_coding	Gm11595	100040276
ENSMUSG00000095452	protein_coding	Gm20795	100040335
ENSMUSG00000102613	unprocessed_pseudogene	Gm20836	100040335
ENSMUSG00000090272	protein_coding	Mndal	100040462
ENSMUSG00000118409	protein_coding	Btbd35f5	100040533
ENSMUSG00000079436	protein_coding	Kcnj13	100040591
ENSMUSG00000074449	protein_coding	Gm15319	100040599
ENSMUSG00000101500	protein_coding	Btbd35f12	100040606
ENSMUSG00000092118	protein_coding	Fancf	100040608
ENSMUSG00000090487	protein_coding	Gm2888	100040657
ENSMUSG00000079410	protein_coding	Gm2897	100040671
ENSMUSG00000095900	protein_coding	Gm20773	100040714
ENSMUSG00000104439	unprocessed_pseudogene	Gm20851	100040714
ENSMUSG00000078324	protein_coding	Btbd35f14	100040732
ENSMUSG00000079429	protein_coding	Mroh2a	100040766
ENSMUSG00000096915	protein_coding	Btbd35f6	100040781
ENSMUSG00000118438	protein_coding	Btbd35f8	100040781
ENSMUSG00000096666	protein_coding	Gm20852	100040786
ENSMUSG00000063929	protein_coding	Cyp4a32	100040843
ENSMUSG00000096044	protein_coding	Gm16427	100040885
ENSMUSG00000084367	unprocessed_pseudogene	Gm15142	100040899
ENSMUSG00000095650	protein_coding	Gm20854	100040911
ENSMUSG00000110477	protein_coding	Gm3045	100040926
ENSMUSG00000072100	protein_coding	Cldn34b1	100040937
ENSMUSG00000079428	protein_coding	Tceal7	100040972
ENSMUSG00000096230	protein_coding	Gm16429	100040981
ENSMUSG00000096259	protein_coding	Gm3106	100041032
ENSMUSG00000091022	protein_coding	Gm3115	100041054
ENSMUSG00000081501	unprocessed_pseudogene	Gm13286	100041062
ENSMUSG00000091129	protein_coding	Iqcf6	100041096
ENSMUSG00000095074	protein_coding	Gm3139	100041102
ENSMUSG00000074419	protein_coding	Gm15448	100041146
ENSMUSG00000073953	protein_coding	Olfr596	100041187
ENSMUSG00000072812	protein_coding	Ahnak2	100041194
ENSMUSG00000116477	protein_coding	MF597757.2	100041194
ENSMUSG00000093848	protein_coding	Gm20865	100041223
ENSMUSG00000096898	protein_coding	Gm20867	100041256
ENSMUSG00000095817	protein_coding	Gm3238	100041261
ENSMUSG00000096066	protein_coding	Gm10424	100041264
ENSMUSG00000083380	processed_pseudogene	Ndufb4c	100041273
ENSMUSG00000022820	protein_coding	Ndufb4	100041273
ENSMUSG00000094729	protein_coding	Gm20747	100041284
ENSMUSG00000094294	protein_coding	Gm20909	100041284
ENSMUSG00000079424	protein_coding	Gm3259	100041296
ENSMUSG00000094132	protein_coding	Gm3264	100041306
ENSMUSG00000091185	protein_coding	Gm3278	100041336
ENSMUSG00000111915	protein_coding	Gm3285	100041351
ENSMUSG00000052469	protein_coding	Tcp10c	100041352
ENSMUSG00000058186	protein_coding	Zfp980	100041379
ENSMUSG00000057674	protein_coding	Gm11938	100041412
ENSMUSG00000056300	protein_coding	Zfp981	100041433
ENSMUSG00000061292	protein_coding	Cyp3a59	100041449
ENSMUSG00000058725	protein_coding	Gm11937	100041488
ENSMUSG00000096629	protein_coding	Gm3383	100041515
ENSMUSG00000022584	protein_coding	Ly6c2	100041546
ENSMUSG00000041505	protein_coding	Gm3402	100041548
ENSMUSG00000095520	protein_coding	Gm20877	100041550
ENSMUSG00000079091	protein_coding	Gm3404	100041554
ENSMUSG00000096664	protein_coding	Gm3409	100041566
ENSMUSG00000116953	protein_coding	9030025P20Rik	100041574
ENSMUSG00000038630	protein_coding	Zkscan16	100041581
ENSMUSG00000063953	protein_coding	Amd2	100041585
ENSMUSG00000093805	protein_coding	Gal3st2b	100041596
ENSMUSG00000116895	protein_coding	Gm3435	100041621
ENSMUSG00000078495	protein_coding	Zfp984	100041677
ENSMUSG00000096003	protein_coding	Gm3500	100041678
ENSMUSG00000091827	protein_coding	Speer4f2	100041749
ENSMUSG00000079116	protein_coding	Defa41	100041759
ENSMUSG00000074441	protein_coding	Defa40	100041787
ENSMUSG00000082211	protein_coding	Defa27	100041811
ENSMUSG00000072739	protein_coding	Gm10408	100041840
ENSMUSG00000079364	protein_coding	Gm3558	100041874
ENSMUSG00000063206	protein_coding	Defa34	100041952
ENSMUSG00000061104	protein_coding	Sap18b	100041953
ENSMUSG00000094942	protein_coding	Gm3604	100041979
ENSMUSG00000101575	unprocessed_pseudogene	Gm20898	100042013
ENSMUSG00000095226	protein_coding	Gm10377	100042055
ENSMUSG00000091937	protein_coding	Gm3646	100042065
ENSMUSG00000097891	unprocessed_pseudogene	Gm3650	100042074
ENSMUSG00000094021	protein_coding	Gm3685	100042129
ENSMUSG00000092167	protein_coding	Gm3696	100042149
ENSMUSG00000060275	protein_coding	Nrg2	100042150
ENSMUSG00000097392	protein_coding	Thoc2l	100042165
ENSMUSG00000094860	protein_coding	Btbd35f27	100042275
ENSMUSG00000074179	protein_coding	Gm10639	100042314
ENSMUSG00000095528	protein_coding	Gm10375	100042342
ENSMUSG00000094746	protein_coding	Gm20916	100042417
ENSMUSG00000095867	protein_coding	Gm20917	100042428
ENSMUSG00000096735	protein_coding	Vmn1r79	100042437
ENSMUSG00000079481	protein_coding	Nhsl2	100042480
ENSMUSG00000091045	protein_coding	Vmn2r55	100042499
ENSMUSG00000022820	protein_coding	Ndufb4	100042503
ENSMUSG00000074445	protein_coding	Sprr2a3	100042514
ENSMUSG00000096373	protein_coding	Vmn2r31	100042591
ENSMUSG00000091651	protein_coding	Vmn2r36	100042653
ENSMUSG00000079070	lincRNA	Gm3985	100042715
ENSMUSG00000090864	protein_coding	Vmn2r40	100042781
ENSMUSG00000078206	protein_coding	Fthl17d	100042782
ENSMUSG00000075028	protein_coding	Prdm11	100042784
ENSMUSG00000113489	protein_coding	Gm16381	100042786
ENSMUSG00000043424	protein_coding	Eif3j2	100042807
ENSMUSG00000090662	protein_coding	Vmn2r45	100042810
ENSMUSG00000090892	protein_coding	Vmn2r41	100042848
ENSMUSG00000069385	protein_coding	Gm10267	100042855
ENSMUSG00000094107	protein_coding	Vmn2r47	100042891
ENSMUSG00000090342	protein_coding	Vmn2r46	100042894
ENSMUSG00000058685	protein_coding	Vmn2r51	100042921
ENSMUSG00000094085	protein_coding	Vmn1r114	100042996
ENSMUSG00000067919	protein_coding	Rex2	100043034
ENSMUSG00000091972	protein_coding	Tmem207	100043057
ENSMUSG00000094700	protein_coding	Vmn1r158	100043067
ENSMUSG00000074291	protein_coding	Vmn1r168	100043101
