""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"TC0600000193.mm.1"	"Ptprz1"	-3.41338265847978	-3.6251634159047	-3.20160190105485	4.11176692222934	-38.5754227419553	4.98173385911687e-09	0.000210107945044005	10.6008276206703	"down"
"TC1800000583.mm.1"	"Slc12a2"	-3.54223013964715	-3.79633716399407	-3.28812311530024	3.69754830335564	-33.3635547752059	1.29429186254552e-08	0.000210107945044005	10.0300329017943	"down"
"TC0200001226.mm.1"	"Slc43a3"	-3.26632488457369	-3.52836027856182	-3.00428949058556	5.18092676528149	-29.8340103669868	2.69794108845362e-08	0.000210107945044005	9.53769261347738	"down"
"TC0400003100.mm.1"	"Cyp2j9"	-3.02040424216645	-3.26447458349053	-2.77633390084238	4.42054462748146	-29.6184465547069	2.82947562997687e-08	0.000210107945044005	9.50422621288169	"down"
"TC1100002244.mm.1"	"Gm25698"	-3.52091380513429	-3.82910140819939	-3.2127262020692	4.43169015701586	-27.343395346665	4.77986627903471e-08	0.000210107945044005	9.1234078242414	"down"
"TC1100003999.mm.1"	"Abca8a"	-4.7458683909958	-5.16287096698098	-4.32886581501063	5.01416908125517	-27.2388749754652	4.90140672246595e-08	0.000210107945044005	9.10461817591163	"down"
"TC1600000524.mm.1"	"Gm22617"	-3.20944622233113	-3.49772912081162	-2.92116332385064	5.82683181395131	-26.6454731596094	5.66270708325241e-08	0.000210107945044005	8.99561871454791	"down"
"TC1600001068.mm.1"	"Gm22745"	-3.20944622233113	-3.49772912081162	-2.92116332385064	5.82683181395131	-26.6454731596094	5.66270708325241e-08	0.000210107945044005	8.99561871454791	"down"
"TC1900001430.mm.1"	"Gm23075"	-3.20944622233113	-3.49772912081162	-2.92116332385064	5.82683181395131	-26.6454731596094	5.66270708325241e-08	0.000210107945044005	8.99561871454791	"down"
"TC0500003468.mm.1"	"Gjc3"	-4.57061269165011	-4.98707662800855	-4.15414875529168	5.31113063431056	-26.2669250659484	6.21936713318669e-08	0.000210107945044005	8.92396184656795	"down"
"TC0600002079.mm.1"	"Ptn"	-3.25514372941111	-3.56568222845298	-2.94460523036925	5.05566490202522	-25.0880515536501	8.40160300384918e-08	0.000216432705849043	8.68959417917281	"down"
"TC0900002254.mm.1"	"Ncam1"	-3.09130395603103	-3.38786069486406	-2.794747217198	5.60075986349994	-24.94859689794	8.71385657332556e-08	0.000216432705849043	8.66069486873718	"down"
"TC0200001627.mm.1"	"Lgr4"	-2.70970062019243	-2.97002776366316	-2.4493734767217	4.10619458530602	-24.9123141245615	8.79727155265871e-08	0.000216432705849043	8.65313370977775	"down"
"TC1700001429.mm.1"	"Qk"	-3.3339091868295	-3.65603531879918	-3.01178305485981	5.65352267235541	-24.7707993648025	9.13151160165829e-08	0.000216432705849043	8.62347454473777	"down"
"TC1400001312.mm.1"	"Gm25781"	-3.47011652443511	-3.81302583868903	-3.12720721018119	4.86670067353424	-24.2201590186889	1.05787064575198e-07	0.000229778163104336	8.50547086848144	"down"
"TC0X00000668.mm.1"	"Nsdhl"	-2.49975557764718	-2.74745387013907	-2.2520572851553	3.97104071412195	-24.1538712434122	1.07700987655627e-07	0.000229778163104336	8.49098054432051	"down"
"TC1600001091.mm.1"	"Gm9242"	-2.58324396409895	-2.8405567811704	-2.3259311470275	4.69506114802103	-24.0279222178519	1.11448277965174e-07	0.000229778163104336	8.46327641021182	"down"
"TC1000000508.mm.1"	"Fabp7"	-4.83108180967224	-5.32041198420057	-4.34175163514391	4.63347265202634	-23.6295041399216	1.24327701623052e-07	0.000240208094079697	8.37413017941811	"down"
"TC0X00000655.mm.1"	"Rpl30-ps10"	-2.67896313802724	-2.95237700523548	-2.405549270819	3.00663497733035	-23.4508405499432	1.30653569270881e-07	0.000240208094079697	8.33339465555034	"down"
"TC0500000819.mm.1"	"Slc4a4"	-2.11832068569331	-2.3355513138666	-1.90109005752002	4.66755770050124	-23.3390332487475	1.34800428357847e-07	0.000240208094079697	8.30765856471643	"down"
