Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
non-canonical Wnt signaling pathway (GO:0035567)	7/127	6.082649341581029E-4	0.33895336464398684	0	0	5.2350837138508375	38.76527151800985	PSMD9;PSMD13;AGO4;PSMB3;SFRP5;AP2S1;ROR2
inorganic anion transport (GO:0015698)	4/44	0.0015123208239201835	0.33895336464398684	0	0	8.889189189189189	57.72737097069454	FXYD3;SLC4A10;SLC17A7;SLC26A6
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	2/6	0.0018506841350418282	0.33895336464398684	0	0	44.129464285714285	277.67141100951824	ATP2B4;FOXO1
negative regulation of nitric oxide metabolic process (GO:1904406)	2/7	0.0025716848431765102	0.33895336464398684	0	0	35.301785714285714	210.51139725041455	ATP2B4;CD34
flavin-containing compound metabolic process (GO:0042726)	2/7	0.0025716848431765102	0.33895336464398684	0	0	35.301785714285714	210.51139725041455	FLAD1;SLC52A3
riboflavin metabolic process (GO:0006771)	2/7	0.0025716848431765102	0.33895336464398684	0	0	35.301785714285714	210.51139725041455	FLAD1;SLC52A3
negative regulation of nitric oxide biosynthetic process (GO:0045019)	2/7	0.0025716848431765102	0.33895336464398684	0	0	35.301785714285714	210.51139725041455	ATP2B4;CD34
cellular response to nutrient levels (GO:0031669)	4/54	0.0032269661327897006	0.33895336464398684	0	0	7.107747747747748	40.77155404280185	RRAGB;USP33;EHMT2;FOXO1
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	5/88	0.0032284639828627456	0.33895336464398684	0	0	5.367442621163387	30.7863025839123	PSMD9;PSMD13;PSMB3;AP2S1;ROR2
negative regulation of cellular protein metabolic process (GO:0032269)	5/89	0.003389773450755402	0.33895336464398684	0	0	5.3032751562163325	30.1596843869142	DNAJC1;RIC1;CPEB3;TOB1;GIGYF2
regulation of establishment of planar polarity (GO:0090175)	5/89	0.003389773450755402	0.33895336464398684	0	0	5.3032751562163325	30.1596843869142	PSMD9;PSMD13;PSMB3;AP2S1;ROR2
positive regulation of TORC1 signaling (GO:1904263)	2/8	0.003403429085842103	0.33895336464398684	0	0	29.416666666666668	167.17408714461624	RRAGB;PIH1D1
regulation of TORC1 signaling (GO:1903432)	3/28	0.0037865566805832733	0.33895336464398684	0	0	10.627264573991031	59.260796319117546	RRAGB;PIH1D1;BMT2
ncRNA processing (GO:0034470)	8/227	0.004391078016041578	0.33895336464398684	0	0	3.2767793557035736	17.786949867950433	LAS1L;AGO4;PIH1D1;DIS3L;HNRNPA2B1;ISG20L2;RPL24;INTS7
regulation of cellular ketone metabolic process (GO:0010565)	4/61	0.005008423452239628	0.33895336464398684	0	0	6.232653706337917	33.01208611458718	PSMD9;PSMD13;PSMB3;PRKAG2
vesicle-mediated transport to the plasma membrane (GO:0098876)	3/31	0.005068056732366724	0.33895336464398684	0	0	9.487187700192184	50.13786889824032	SNX17;CCDC22;VPS39
cytochrome complex assembly (GO:0017004)	2/10	0.005388901759505493	0.33895336464398684	0	0	22.060267857142858	115.22990468921296	HCCS;MT-CO3
