Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
respiratory electron transport chain (GO:0022904)	11/94	7.923835211862837E-8	1.220270622626877E-4	0	0	9.711292932925733	158.7874610394912	NDUFA8;COX7B;UQCRB;MT-CO1;NDUFA4;UQCRQ;UQCRC2;MT-ND2;SDHB;MT-ND1;COX6B1
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	10/85	2.959715086207384E-7	2.2789806163796855E-4	0	0	9.737794299876084	146.38828743646	NDUFA8;COX7B;UQCRB;MT-CO1;NDUFA4;UQCRQ;UQCRC2;MT-ND2;MT-ND1;COX6B1
translation (GO:0006412)	14/232	5.102363303152461E-6	0.002340510401482634	0	0	4.726363164272113	57.59454806880853	N6AMT1;RARS2;RPL10;MRPS36;MRPL18;MRPS18B;MRPS21;RPL23A;TRMT112;RPS27;RPS29;RPS3;RPS2;RPL39
cotranslational protein targeting to membrane (GO:0006613)	9/93	6.0792477960587895E-6	0.002340510401482634	0	0	7.792460317460318	93.59235444747755	TRAM1;RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	9/112	2.7582648635406774E-5	0.006588816734577467	0	0	6.348867313915858	66.65246390775077	RPS27;RPL10;RPS29;EIF4A3;RPS3;RPL23A;RPS2;RPL39;UBA52
regulation of autophagy (GO:0010506)	12/203	2.96651851518512E-5	0.006588816734577467	0	0	4.595564444967351	47.91122447698297	RRAGA;KAT2A;ATP6V1G2;HAX1;CPTP;BNIP3;CISD2;HSPB1;ATP13A2;SIRT2;MTOR;LAMTOR5
peptide biosynthetic process (GO:0043043)	11/174	3.449179717080041E-5	0.006588816734577467	0	0	4.924869517443457	50.6019952691694	RPS27;RPL10;RPS29;MRPS36;MRPL18;MRPS18B;RPS3;MRPS21;RPL23A;RPS2;RPL39
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	8/89	3.449180538280426E-5	0.006588816734577467	0	0	7.157760466493554	73.54447698313992	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
aerobic respiration (GO:0009060)	5/28	3.850607182545273E-5	0.006588816734577467	0	0	15.628371945414154	158.85762822280475	UQCRB;MT-CO1;BLOC1S1;UQCRC2;SDHB
translational termination (GO:0006415)	8/96	5.9543207493698495E-5	0.008977074281484912	0	0	6.586044951358605	64.07436900156678	N6AMT1;MRPL30;TRMT112;MRPS36;MRPL18;MRPS18B;MRPS21;MRPL46
protein targeting to ER (GO:0045047)	8/97	6.412195915346365E-5	0.008977074281484912	0	0	6.511712757577014	62.86878733323463	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
regulation of programmed cell death (GO:0043067)	13/268	1.0682748935380872E-4	0.013709527800405453	0	0	3.730768096712369	34.11524507368057	NTRK1;NGFR;BNIP3;NME2;GDF1;CHM;HAX1;CASP6;RPS3;MAP4K5;PAK3;UBA52;LCMT1
cellular respiration (GO:0045333)	6/57	1.3952810267849947E-4	0.016037790016113853	0	0	8.476621417797888	75.24904106400909	UQCRB;MT-CO1;BLOC1S1;UQCRC2;SDHB;MT-ND1
viral gene expression (GO:0019080)	8/110	1.555695160775451E-4	0.016037790016113853	0	0	5.678026192026626	49.7873063711437	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
cellular protein metabolic process (GO:0044267)	18/484	1.6667663157735068E-4	0.016037790016113853	0	0	2.84963741305313	24.790292328706634	CALCA;RPL10;MRPS36;FBXO2;MRPL18;MRPS18B;SHISA5;MRPS21;RPL23A;UBL5;RPS27;RPS29;RPS3;RPS2;RPL39;UBA52;LCMT1;PNPLA2
