Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HIV infection	9/200	4.670500339969341E-4	0.12173982293977845	0	0	4.252346370062972	32.61155969516803	PSMD9;POM121;PSMB3;PSMD13;AP2S1;AP1S1;NUP88;GTF2F2;GTF2E1
HIV factor interactions with host	7/128	6.373812719360128E-4	0.12173982293977845	0	0	5.19155439827918	38.20019725827576	PSMD9;POM121;PSMD13;PSMB3;AP2S1;AP1S1;NUP88
Downstream signaling events Of B cell receptor (BCR)	5/98	0.0051121958418362595	0.4957749319791998	0	0	4.787865518415803	25.26138295478141	PSMD9;PSMD13;PSMB3;AKT1S1;FOXO1
Proteasome degradation	4/63	0.0056177600573256705	0.4957749319791998	0	0	6.020766529241105	31.198542028526045	PSMD9;UCHL1;PSMD13;PSMB3
TOR signaling	3/34	0.006581618730951201	0.4957749319791998	0	0	8.567770866483437	43.03997895075857	RRAGB;AKT1S1;PRKAG2
Serotonin receptors	2/12	0.007787040816427222	0.4957749319791998	0	0	17.646428571428572	85.67860513093576	HTR7;HTR1B
PI3K events in ERBB2 signaling	3/44	0.013415011389146268	0.5160830408245415	0	0	6.474789456414744	27.915283892518584	ERBB3;AKT1S1;FOXO1
Capped intron-containing pre-mRNA processing	5/138	0.020368850258760993	0.5160830408245415	0	0	3.341101622835369	13.00940940956086	SF3A3;POM121;HNRNPA2B1;NUP88;GTF2F2
Androgen receptor regulation of biosynthesis and transcription	3/53	0.022042220250911945	0.5160830408245415	0	0	5.306905829596412	20.24476080899891	EHMT2;FOXO1;SENP1
Transport of inorganic cations/anions and amino acids/oligopeptides	4/95	0.02274314804994478	0.5160830408245415	0	0	3.8972378972378974	14.74516592597022	SLC7A5;SLC4A10;SLC17A7;SLC26A6
Autodegradation of Cdh1 by Cdh1-APC/C	3/58	0.027873074313563083	0.5160830408245415	0	0	4.823236852833265	17.267641966179365	PSMD9;PSMD13;PSMB3
Signaling by the B cell receptor (BCR)	5/151	0.028635482879252886	0.5160830408245415	0	0	3.0415917684249676	10.8071060830686	PSMD9;PSMD13;PSMB3;AKT1S1;FOXO1
Lysosome vesicle biogenesis	2/24	0.029801152943464828	0.5160830408245415	0	0	8.016233766233766	28.1626981753275	VAMP8;AP1S1
Licensing factor removal from origins	3/61	0.03172674986039011	0.5160830408245415	0	0	4.573063244162672	15.779789666925833	PSMD9;PSMD13;PSMB3
O-linked glycosylation of mucins	3/63	0.03444273686839422	0.5160830408245415	0	0	4.4201793721973095	14.889184743623948	GALNT13;GALNT4;ST6GALNAC4
Ubiquitin-mediated degradation of phosphorylated Cdc25A	3/64	0.035844504514888464	0.5160830408245415	0	0	4.3474968756891865	14.47092600221402	PSMD9;PSMD13;PSMB3
Rev-mediated nuclear export of HIV-1 RNA	2/27	0.03707431389221056	0.5160830408245415	0	0	7.053214285714286	23.239148352234718	POM121;NUP88
Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha)	4/112	0.03834071942389988	0.5160830408245415	0	0	3.2809476142809477	10.699966709524215	HMGCS2;MED16;MED29;MED7
Destabilization of mRNA by AUF1 (hnRNP D0)	3/66	0.038735014110743586	0.5160830408245415	0	0	4.209054025197523	13.683682327062991	PSMD9;PSMD13;PSMB3
Nef in HIV-1 replication and disease pathogenesis	2/28	0.03963491530502145	0.5160830408245415	0	0	6.781593406593407	21.891287668023136	AP2S1;AP1S1
Activation of NF-kappaB in B cells	3/68	0.0417406195749561	0.5160830408245415	0	0	4.079130734736116	12.956463547441851	PSMD9;PSMD13;PSMB3
Disease	13/674	0.04320725688840937	0.5160830408245415	0	0	1.7647823400311096	5.544499294746339	POM121;PSMD13;GTF2F2;GTF2E1;FOXO1;PSMD9;PSMB3;AKT1S1;AP2S1;AP1S1;RPL24;NUP88;HDGF
Interferon-beta enhancer pathway	2/30	0.04494949968255246	0.5160830408245415	0	0	6.29655612244898	19.533274935722194	IRF1;GTF2E1
O-glycan biosynthesis	2/30	0.04494949968255246	0.5160830408245415	0	0	6.29655612244898	19.533274935722194	GALNT13;GALNT4
HIV life cycle	4/118	0.04500384839720128	0.5160830408245415	0	0	3.1073178441599496	9.635815234047136	POM121;NUP88;GTF2F2;GTF2E1
Fatty acid, triacylglycerol, and ketone body metabolism	5/173	0.046914930875368306	0.5160830408245415	0	0	2.640325360913596	8.077862363874852	PRKAG2;HMGCS2;MED16;MED29;MED7
Cyclin A-Cdk2-associated events at S phase entry	3/72	0.04809234464424655	0.5160830408245415	0	0	3.841879508676155	11.658691532721566	PSMD9;PSMD13;PSMB3
Degradation of beta-catenin by the destruction complex	3/73	0.04975024465556699	0.5160830408245415	0	0	3.78680333119795	11.363211840630285	PSMD9;PSMD13;PSMB3
AMPK inhibition of chREBP transcriptional activation activity	1/5	0.055242600820735274	0.5160830408245415	0	0	21.966666666666665	63.6159250967051	PRKAG2
GRB7 events in ERBB2 signaling	1/5	0.055242600820735274	0.5160830408245415	0	0	21.966666666666665	63.6159250967051	ERBB3
Ketone body metabolism	1/5	0.055242600820735274	0.5160830408245415	0	0	21.966666666666665	63.6159250967051	HMGCS2
Neuroregulin receptor degredation protein-1 controls ErbB3 receptor recycling	1/5	0.055242600820735274	0.5160830408245415	0	0	21.966666666666665	63.6159250967051	ERBB3
FOSB gene expression and drug abuse	1/5	0.055242600820735274	0.5160830408245415	0	0	21.966666666666665	63.6159250967051	JUND
Transcriptional regulation of white adipocyte differentiation	3/77	0.05665614213363816	0.5160830408245415	0	0	3.5813840746576173	10.28127579122273	MED16;MED29;MED7
Apoptosis	6/242	0.05735321182698102	0.5160830408245415	0	0	2.2578582434514636	6.4541474709115665	PSMD9;PSMB3;PSMD13;IRF1;HMGB2;PLEC
