Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	11/81	1.6331520385016347E-8	9.16198293599417E-6	0	0	11.522441364605545	206.5993190069169	NDUFA8;COX7B;UQCRB;NDUFA4;UQCRQ;UCP1;ATP5C1;UQCRC2;SDHB;ATP5J2;COX6B1
Tricarboxylic acid (TCA) cycle and respiratory electron transport	12/117	8.948252157039337E-8	2.5099847300495338E-5	0	0	8.396361690743714	136.26642224129003	NDUFA8;COX7B;UQCRB;UQCRQ;NDUFA4;UCP1;ATP5C1;SUCLG1;UQCRC2;SDHB;ATP5J2;COX6B1
Electron transport chain	11/105	2.4972208140752816E-7	4.669802922320777E-5	0	0	8.57006192442045	130.28994193715485	NDUFA8;COX7B;UQCRB;UQCRQ;NDUFA4;UCP1;ATP5C1;UQCRC2;SDHB;ATP5J2;COX6B1
Influenza viral RNA transcription and replication	11/125	1.4532357324007653E-6	2.0381631146920733E-4	0	0	7.059341450641529	94.88967667907707	RPS27;RPL10;RPS29;EIF4A3;RPS3;RPL23A;RPS2;RPL39;UBA52;POLR2J;POLR2L
Huntington's disease	13/184	1.977868255984868E-6	2.219168183215022E-4	0	0	5.587433496020753	73.38250715113436	NDUFA8;COX7B;UQCRB;NDUFA4;UCP1;ATP5C1;SDHB;COX6B1;UQCRQ;UQCRC2;POLR2J;TGM2;POLR2L
Oxidative phosphorylation	11/136	3.3333687548917356E-6	3.116699785823773E-4	0	0	6.434507462686567	81.148965416018	NDUFA8;COX7B;ATP6V1G2;UQCRB;UQCRQ;NDUFA4;ATP5C1;UQCRC2;SDHB;ATP5J2;COX6B1
Protein metabolism	19/442	1.57045548164468E-5	0.001258607893146665	0	0	3.3338970721949446	36.878101737740785	CCT3;TRAM1;SEC13;SSR4;RPL10;GALNT18;DOLK;RPL23A;TUBB4B;DPM3;RPS27;RPS29;DAD1;RPS3;MAN1C1;RPS2;RPL39;UBA52;B4GALT5
Influenza infection	10/142	3.1306103065006855E-5	0.0021953404774336057	0	0	5.516784949870452	57.21842463577358	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52;POLR2J;POLR2L
Translation	10/151	5.2900344388441706E-5	0.0032974548002128665	0	0	5.162276885760236	50.83346038152829	TRAM1;RPS27;SSR4;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Parkinson's disease	9/131	9.430297860026796E-5	0.005290397099475033	0	0	5.354918032786885	49.634723370806284	NDUFA8;COX7B;UQCRB;UQCRQ;NDUFA4;ATP5C1;UQCRC2;SDHB;COX6B1
