Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PCP/CE pathway Homo sapiens R-HSA-4086400	6/91	5.837142927492958E-4	0.11208793782524261	0	0	6.317326203208556	47.03943581640803	PSMD9;VANGL2;PSMD13;PSMB3;AP2S1;ROR2
Host Interactions of HIV factors Homo sapiens R-HSA-162909	7/129	6.67592910784687E-4	0.11208793782524261	0	0	5.148738678044764	37.646712149509526	PSMD9;POM121;PSMD13;PSMB3;AP2S1;AP1S1;NUP88
HIV Infection Homo sapiens R-HSA-162906	9/222	9.836157351803853E-4	0.11208793782524261	0	0	3.808853118712274	26.373547381585155	PSMD9;POM121;PSMB3;PSMD13;AP2S1;AP1S1;NUP88;GTF2F2;GTF2E1
SUMOylation Homo sapiens R-HSA-2990846	6/101	0.001010971820825372	0.11208793782524261	0	0	5.649473684210526	38.963534229803294	POM121;PHC2;CETN2;NUP88;RNF2;SENP1
Vitamin B2 (riboflavin) metabolism Homo sapiens R-HSA-196843	2/5	0.0012430436302171357	0.11208793782524261	0	0	58.842261904761905	393.666051412931	FLAD1;SLC52A3
Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494	7/144	0.0012730408737577433	0.11208793782524261	0	0	4.581508515815085	30.541924870474023	PSMD9;VANGL2;PSMD13;AGO4;PSMB3;AP2S1;ROR2
SUMOylation of DNA damage response and repair proteins Homo sapiens R-HSA-3108214	5/75	0.0016005539838292505	0.11208793782524261	0	0	6.368455074337427	40.9963275295263	POM121;PHC2;CETN2;NUP88;RNF2
SUMOylation of RNA binding proteins Homo sapiens R-HSA-4570464	4/45	0.0016453275277099832	0.11208793782524261	0	0	8.671940232915842	55.58553960478696	POM121;PHC2;NUP88;RNF2
MAPK6/MAPK4 signaling Homo sapiens R-HSA-5687128	5/92	0.0039084482970023135	0.17055193494021775	0	0	5.119623446195455	28.386340128532765	PSMD9;PSMD13;PSMB3;AGO4;FOXO1
SUMO E3 ligases SUMOylate target proteins Homo sapiens R-HSA-3108232	5/96	0.004685259685489367	0.17055193494021775	0	0	4.893590572323604	26.245960383938442	POM121;PHC2;CETN2;NUP88;RNF2
IRS-mediated signalling Homo sapiens R-HSA-112399	9/284	0.00515172412418824	0.17055193494021775	0	0	2.9407792207792207	15.493271351805305	SPRED3;PSMD9;DUSP5;ERBB3;RRAGB;PSMB3;PSMD13;AKT1S1;PRKAG2
Transport of inorganic cations/anions and amino acids/oligopeptides Homo sapiens R-HSA-425393	5/99	0.005335681401902268	0.17055193494021775	0	0	4.736690093385963	24.788703478241978	SLC7A5;SLC4A10;CTNS;SLC17A7;SLC26A6
Hedgehog 'off' state Homo sapiens R-HSA-5610787	5/99	0.005335681401902268	0.17055193494021775	0	0	4.736690093385963	24.788703478241978	PSMD9;IFT52;PSMD13;KIF3A;PSMB3
Insulin receptor signalling cascade Homo sapiens R-HSA-74751	9/287	0.005509478313012427	0.17055193494021775	0	0	2.908596625004144	15.128440986578402	SPRED3;PSMD9;DUSP5;ERBB3;RRAGB;PSMB3;PSMD13;AKT1S1;PRKAG2
Asymmetric localization of PCP proteins Homo sapiens R-HSA-4608870	4/63	0.0056177600573256705	0.17055193494021775	0	0	6.020766529241105	31.198542028526045	PSMD9;VANGL2;PSMD13;PSMB3
IGF1R signaling cascade Homo sapiens R-HSA-2428924	9/288	0.005632907942979669	0.17055193494021775	0	0	2.8980228928199794	15.00923574474883	SPRED3;PSMD9;DUSP5;ERBB3;RRAGB;PSMB3;PSMD13;AKT1S1;PRKAG2
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) Homo sapiens R-HSA-2404192	9/288	0.005632907942979669	0.17055193494021775	0	0	2.8980228928199794	15.00923574474883	SPRED3;PSMD9;DUSP5;ERBB3;RRAGB;PSMB3;PSMD13;AKT1S1;PRKAG2
IRS-related events triggered by IGF1R Homo sapiens R-HSA-2428928	9/288	0.005632907942979669	0.17055193494021775	0	0	2.8980228928199794	15.00923574474883	SPRED3;PSMD9;DUSP5;ERBB3;RRAGB;PSMB3;PSMD13;AKT1S1;PRKAG2
Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372	7/192	0.006299144352298184	0.17072356462341268	0	0	3.3844995680612118	17.15041502287827	PSMD9;ERBB3;PSMD13;AGO4;PSMB3;AKT1S1;FOXO1
Infectious disease Homo sapiens R-HSA-5663205	10/348	0.006420684124537511	0.17072356462341268	0	0	2.6621740083278547	13.439268306015528	PSMD9;POM121;PSMB3;PSMD13;AP2S1;AP1S1;RPL24;NUP88;GTF2F2;GTF2E1
Regulation of RAS by GAPs Homo sapiens R-HSA-5658442	4/67	0.006980707754436825	0.17072356462341268	0	0	5.637351637351637	27.98722395566942	SPRED3;PSMD9;PSMD13;PSMB3
Signaling by EGFR Homo sapiens R-HSA-177929	10/355	0.00734265697765426	0.17072356462341268	0	0	2.6072195383789585	12.812018946254208	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;AP2S1;FOXO1
Serotonin receptors Homo sapiens R-HSA-390666	2/12	0.007787040816427222	0.17072356462341268	0	0	17.646428571428572	85.67860513093576	HTR7;HTR1B
Signaling by FGFR2 Homo sapiens R-HSA-5654738	10/361	0.008211744509821553	0.17072356462341268	0	0	2.5618602933417747	12.302539605706349	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;GTF2F2;FOXO1
Signaling by FGFR Homo sapiens R-HSA-190236	10/366	0.008994783998326055	0.17072356462341268	0	0	2.525228880565959	11.896632105742361	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;GTF2F2;FOXO1
Signaling by Insulin receptor Homo sapiens R-HSA-74752	9/311	0.009108647174204322	0.17072356462341268	0	0	2.674153874324778	12.564595085138986	SPRED3;PSMD9;DUSP5;ERBB3;RRAGB;PSMB3;PSMD13;AKT1S1;PRKAG2
WNT5A-dependent internalization of FZD2, FZD5 and ROR2 Homo sapiens R-HSA-5140745	2/13	0.00913477649778908	0.17072356462341268	0	0	16.041396103896105	75.32504719712321	AP2S1;ROR2
mTOR signalling Homo sapiens R-HSA-165159	3/39	0.009645605025825576	0.17072356462341268	0	0	7.37593423019432	34.23357617381027	RRAGB;AKT1S1;PRKAG2
PKB-mediated events Homo sapiens R-HSA-109703	3/40	0.010342173636784031	0.17072356462341268	0	0	7.176221064113441	32.806275547822544	RRAGB;AKT1S1;PRKAG2
NGF signalling via TRKA from the plasma membrane Homo sapiens R-HSA-187037	10/374	0.01036532553236785	0.17072356462341268	0	0	2.468711843711844	11.28025818443326	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;AP2S1;FOXO1
Viral Messenger RNA Synthesis Homo sapiens R-HSA-168325	3/42	0.011820915805911094	0.17072356462341268	0	0	6.807519834425664	30.21098873528707	POM121;NUP88;GTF2F2
Signaling by SCF-KIT Homo sapiens R-HSA-1433557	9/325	0.011903035504421174	0.17072356462341268	0	0	2.55384121798985	11.315972949101585	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Organelle biogenesis and maintenance Homo sapiens R-HSA-1852241	9/326	0.0121246578435284	0.17072356462341268	0	0	2.545654101673233	11.232734519723005	IFT52;TSFM;KIF3A;CETN2;MRPL19;CEP131;PRKAG2;MRPL14;CCT8
Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	9/329	0.012808041126919651	0.17072356462341268	0	0	2.5213997695852535	10.987458623348074	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	9/329	0.012808041126919651	0.17072356462341268	0	0	2.5213997695852535	10.987458623348074	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	9/329	0.012808041126919651	0.17072356462341268	0	0	2.5213997695852535	10.987458623348074	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Signaling by ERBB4 Homo sapiens R-HSA-1236394	9/330	0.013042090401715683	0.17072356462341268	0	0	2.513415737111848	10.907152147422085	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Signaling by FGFR4 Homo sapiens R-HSA-5654743	9/332	0.013519719815071324	0.17072356462341268	0	0	2.4975959823657816	10.748668886246445	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687	9/332	0.013519719815071324	0.17072356462341268	0	0	2.4975959823657816	10.748668886246445	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Signalling by NGF Homo sapiens R-HSA-166520	11/450	0.013701946294034912	0.17072356462341268	0	0	2.253377125602585	9.667477732697519	SPRED3;PSMD9;DUSP5;PLEKHG2;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;AP2S1;FOXO1
Signaling by FGFR3 Homo sapiens R-HSA-5654741	9/333	0.013763349348448806	0.17072356462341268	0	0	2.4897593445980544	10.670476311780842	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
G2/M Transition Homo sapiens R-HSA-69275	6/173	0.01398078087240699	0.17072356462341268	0	0	3.2020141535111595	13.672829979373269	PSMD9;PSMD13;PSMB3;CETN2;CEP131;CDK11B
Signaling by FGFR1 Homo sapiens R-HSA-5654736	9/336	0.014513792694867834	0.17072356462341268	0	0	2.46653701433222	10.440002350933398	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Mitotic G2-G2/M phases Homo sapiens R-HSA-453274	6/175	0.014721641342751127	0.17072356462341268	0	0	3.1637977407208178	13.346280398436079	PSMD9;PSMD13;PSMB3;CETN2;CEP131;CDK11B
TP53 Regulates Metabolic Genes Homo sapiens R-HSA-5628897	4/84	0.015159020484881392	0.17072356462341268	0	0	4.435585585585586	18.581375550120256	RRAGB;AGO4;TACO1;PRKAG2
MAPK family signaling cascades Homo sapiens R-HSA-5683057	8/284	0.015750111565892965	0.17072356462341268	0	0	2.592474404999335	10.761122307270666	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;FOXO1
Hedgehog 'on' state Homo sapiens R-HSA-5632684	4/85	0.015770444434349294	0.17072356462341268	0	0	4.380602825047269	18.17782700256557	PSMD9;PSMD13;PSMB3;KIF3A
Downstream signal transduction Homo sapiens R-HSA-186763	9/341	0.01583118275859608	0.17072356462341268	0	0	2.428765754261285	10.069113167094132	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
DAP12 signaling Homo sapiens R-HSA-2424491	9/344	0.016662676729408833	0.17072356462341268	0	0	2.406644198363024	9.854206797306285	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705	7/233	0.016972977092489207	0.17072356462341268	0	0	2.7646987513638015	11.269279214026604	PSMD9;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Transcriptional Regulation by TP53 Homo sapiens R-HSA-3700989	9/348	0.017820585217901492	0.17072356462341268	0	0	2.377757840218588	9.576184343799895	L3MBTL1;NUAK1;RRAGB;AGO4;EHMT2;TACO1;PRKAG2;ARID3A;GTF2F2
Regulation of activated PAK-2p34 by proteasome mediated degradation Homo sapiens R-HSA-211733	3/49	0.017912197277994455	0.17072356462341268	0	0	5.769545720413336	23.2066902006028	PSMD9;PSMD13;PSMB3
Cross-presentation of soluble exogenous antigens (endosomes) Homo sapiens R-HSA-1236978	3/49	0.017912197277994455	0.17072356462341268	0	0	5.769545720413336	23.2066902006028	PSMD9;PSMD13;PSMB3
CDK-mediated phosphorylation and removal of Cdc6 Homo sapiens R-HSA-69017	3/50	0.0189001787327356	0.17072356462341268	0	0	5.646503196259899	22.408621677120447	PSMD9;PSMD13;PSMB3
Ubiquitin-dependent degradation of Cyclin D1 Homo sapiens R-HSA-69229	3/50	0.0189001787327356	0.17072356462341268	0	0	5.646503196259899	22.408621677120447	PSMD9;PSMD13;PSMB3
Ubiquitin-dependent degradation of Cyclin D Homo sapiens R-HSA-75815	3/50	0.0189001787327356	0.17072356462341268	0	0	5.646503196259899	22.408621677120447	PSMD9;PSMD13;PSMB3
Regulation of Apoptosis Homo sapiens R-HSA-169911	3/50	0.0189001787327356	0.17072356462341268	0	0	5.646503196259899	22.408621677120447	PSMD9;PSMD13;PSMB3
Regulation of ornithine decarboxylase (ODC) Homo sapiens R-HSA-350562	3/50	0.0189001787327356	0.17072356462341268	0	0	5.646503196259899	22.408621677120447	PSMD9;PSMD13;PSMB3
Regulation of TP53 Activity through Methylation Homo sapiens R-HSA-6804760	2/19	0.019156269466266845	0.17072356462341268	0	0	10.3765756302521	41.04065607271198	L3MBTL1;EHMT2
Signaling by Hedgehog Homo sapiens R-HSA-5358351	5/136	0.019255386210413904	0.17072356462341268	0	0	3.392456219128873	13.40008147815011	PSMD9;IFT52;PSMD13;KIF3A;PSMB3
Signaling by Wnt Homo sapiens R-HSA-195721	8/295	0.01931534613369531	0.17072356462341268	0	0	2.491704759773679	9.834398293038797	PSMD9;VANGL2;WNT2B;AGO4;PSMB3;PSMD13;AP2S1;ROR2
Vpu mediated degradation of CD4 Homo sapiens R-HSA-180534	3/51	0.01991782247644883	0.17072356462341268	0	0	5.528587443946188	21.65072434690996	PSMD9;PSMD13;PSMB3
Autodegradation of the E3 ubiquitin ligase COP1 Homo sapiens R-HSA-349425	3/51	0.01991782247644883	0.17072356462341268	0	0	5.528587443946188	21.65072434690996	PSMD9;PSMD13;PSMB3
p53-Independent DNA Damage Response Homo sapiens R-HSA-69610	3/52	0.020965162793297604	0.17072356462341268	0	0	5.415484579482017	20.930269165198336	PSMD9;PSMD13;PSMB3
p53-Independent G1/S DNA damage checkpoint Homo sapiens R-HSA-69613	3/52	0.020965162793297604	0.17072356462341268	0	0	5.415484579482017	20.930269165198336	PSMD9;PSMD13;PSMB3
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A Homo sapiens R-HSA-69601	3/52	0.020965162793297604	0.17072356462341268	0	0	5.415484579482017	20.930269165198336	PSMD9;PSMD13;PSMB3
DAP12 interactions Homo sapiens R-HSA-2172127	9/359	0.021306726102741678	0.17072356462341268	0	0	2.301724818959842	8.858723063026343	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Vif-mediated degradation of APOBEC3G Homo sapiens R-HSA-180585	3/53	0.022042220250911945	0.17072356462341268	0	0	5.306905829596412	20.24476080899891	PSMD9;PSMD13;PSMB3
Signaling by PDGF Homo sapiens R-HSA-186797	9/364	0.023043846385522943	0.17072356462341268	0	0	2.268722009476212	8.553890805231983	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
SCF-beta-TrCP mediated degradation of Emi1 Homo sapiens R-HSA-174113	3/54	0.02314900209879199	0.17072356462341268	0	0	5.2025850699024	19.591913612924326	PSMD9;PSMD13;PSMB3
Stabilization of p53 Homo sapiens R-HSA-69541	3/54	0.02314900209879199	0.17072356462341268	0	0	5.2025850699024	19.591913612924326	PSMD9;PSMD13;PSMB3
AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408	3/54	0.02314900209879199	0.17072356462341268	0	0	5.2025850699024	19.591913612924326	PSMD9;PSMD13;PSMB3
Degradation of AXIN Homo sapiens R-HSA-4641257	3/54	0.02314900209879199	0.17072356462341268	0	0	5.2025850699024	19.591913612924326	PSMD9;PSMD13;PSMB3
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters Homo sapiens R-HSA-164938	2/21	0.023180814279142273	0.17072356462341268	0	0	9.283364661654135	34.946579340499504	AP2S1;AP1S1
Cellular responses to stress Homo sapiens R-HSA-2262752	9/367	0.024133573138286155	0.17415261783369637	0	0	2.249362819555647	8.376967539786582	POM121;PHC2;RRAGB;AGO4;EHMT2;AKT1S1;PRKAG2;NUP88;RNF2
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD Homo sapiens R-HSA-5362768	3/55	0.024285502670387014	0.17415261783369637	0	0	5.102276647119696	18.96963038446126	PSMD9;PSMD13;PSMB3
mTORC1-mediated signalling Homo sapiens R-HSA-166208	2/22	0.02531180977943735	0.1778356224433327	0	0	8.81875	32.42199506044415	RRAGB;AKT1S1
Degradation of DVL Homo sapiens R-HSA-4641258	3/56	0.02545170376253202	0.1778356224433327	0	0	5.005753447838226	18.37598371304671	PSMD9;PSMD13;PSMB3
tRNA processing in the nucleus Homo sapiens R-HSA-6784531	3/57	0.026647575019979528	0.18047892787517086	0	0	4.912805181863478	17.809199433813575	POM121;NUP88;FAM98B
Hh mutants abrogate ligand secretion Homo sapiens R-HSA-5387390	3/57	0.026647575019979528	0.18047892787517086	0	0	4.912805181863478	17.809199433813575	PSMD9;PSMD13;PSMB3
NIK-->noncanonical NF-kB signaling Homo sapiens R-HSA-5676590	3/58	0.027873074313563083	0.18047892787517086	0	0	4.823236852833265	17.267641966179365	PSMD9;PSMD13;PSMB3
CDT1 association with the CDC6:ORC:origin complex Homo sapiens R-HSA-68827	3/58	0.027873074313563083	0.18047892787517086	0	0	4.823236852833265	17.267641966179365	PSMD9;PSMD13;PSMB3
Degradation of GLI1 by the proteasome Homo sapiens R-HSA-5610780	3/59	0.029128148078053927	0.18047892787517086	0	0	4.736867392696989	16.74980129120858	PSMD9;PSMD13;PSMB3
GLI3 is processed to GLI3R by the proteasome Homo sapiens R-HSA-5610785	3/59	0.029128148078053927	0.18047892787517086	0	0	4.736867392696989	16.74980129120858	PSMD9;PSMD13;PSMB3
