Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517	14/153	3.23554037184849E-8	1.476248145558404E-5	0	0	7.442595357676123	128.3586076397764	NDUFA8;COX7B;UQCRB;NDUFA4;COX18;UCP1;ATP5C1;SDHB;ATP5J2;COX6B1;UQCRQ;SUCLG1;UQCRC2;HAGH
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200	12/109	4.038982614386878E-8	1.476248145558404E-5	0	0	9.092551835978224	154.79785732953331	NDUFA8;COX7B;UQCRB;UQCRQ;NDUFA4;COX18;UCP1;ATP5C1;UQCRC2;SDHB;ATP5J2;COX6B1
Eukaryotic Translation Termination Homo sapiens R-HSA-72764	10/87	3.692549448580685E-7	8.997512156374936E-5	0	0	9.483899000627625	140.47341154126363	N6AMT1;TRMT112;RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Translation Homo sapiens R-HSA-72766	12/151	1.4370000852262876E-6	2.6261176557510407E-4	0	0	6.331581925470859	85.1784733724053	N6AMT1;TRMT112;TRAM1;RPS27;SSR4;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339	10/107	2.5390479084833343E-6	3.7120880422026345E-4	0	0	7.520791016747787	96.8957760649935	TRAM1;RPS27;SSR4;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Respiratory electron transport Homo sapiens R-HSA-611105	9/88	3.837178768090009E-6	4.6749627991229936E-4	0	0	8.28776371308017	103.35482124626125	NDUFA8;COX7B;UQCRB;NDUFA4;UQCRQ;COX18;UQCRC2;SDHB;COX6B1
Influenza Viral RNA Transcription and Replication Homo sapiens R-HSA-168273	10/128	1.2682785928911538E-5	0.0013244452162906194	0	0	6.175729317623338	69.63298414650806	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52;POLR2J;POLR2L
Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802	9/106	1.7728014695482177E-5	0.001377216000825782	0	0	6.743642611683849	73.77790767966204	RPS27;RPL10;RPS29;EIF4A3;RPS3;RPL23A;RPS2;RPL39;UBA52
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957	9/106	1.7728014695482177E-5	0.001377216000825782	0	0	6.743642611683849	73.77790767966204	RPS27;RPL10;RPS29;EIF4A3;RPS3;RPL23A;RPS2;RPL39;UBA52
Influenza Life Cycle Homo sapiens R-HSA-168255	10/136	2.1554964298784022E-5	0.001377216000825782	0	0	5.78125921992093	62.1190776646526	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52;POLR2J;POLR2L
Viral mRNA Translation Homo sapiens R-HSA-192823	8/84	2.2608197003980008E-5	0.001377216000825782	0	0	7.630607885026219	81.62612354501559	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Peptide chain elongation Homo sapiens R-HSA-156902	8/84	2.2608197003980008E-5	0.001377216000825782	0	0	7.630607885026219	81.62612354501559	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Selenocysteine synthesis Homo sapiens R-HSA-2408557	8/87	2.9231081169810692E-5	0.001643686179625509	0	0	7.339716941473212	76.6286852454329	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	8/89	3.449180538280426E-5	0.0016809006489886611	0	0	7.157760466493554	73.54447698313992	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	8/89	3.449180538280426E-5	0.0016809006489886611	0	0	7.157760466493554	73.54447698313992	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Influenza Infection Homo sapiens R-HSA-168254	10/147	4.21064555997269E-5	0.0019019460023637666	0	0	5.314085691802567	53.54105799794529	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52;POLR2J;POLR2L
Metabolism of proteins Homo sapiens R-HSA-392499	32/1074	4.423130238055271E-5	0.0019019460023637666	0	0	2.3224101890633864	23.28466528755395	N6AMT1;DCTN6;RAB1A;TRAM1;CALCA;ACADVL;RPL10;GALNT18;TRMT112;ASNA1;CHST10;DAG1;RPS3;MAN1C1;RPS2;ADAMTS8;RPL39;CCT3;SEC13;TRAPPC1;SSR4;DOLK;RPL23A;GNG12;TUBB4B;SEC23IP;DPM3;RPS27;RPS29;DAD1;UBA52;B4GALT5
Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689	8/96	5.9543207493698495E-5	0.0024181158154385333	0	0	6.586044951358605	64.07436900156678	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827	8/106	1.2012928767734402E-4	0.004390725464606924	0	0	5.910987273138037	53.3581392646287	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279	8/106	1.2012928767734402E-4	0.004390725464606924	0	0	5.910987273138037	53.3581392646287	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706	8/107	1.2829146178934732E-4	0.004465764693714899	0	0	5.850982146185098	52.43185536264872	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Selenoamino acid metabolism Homo sapiens R-HSA-2408522	8/111	1.6565843845413664E-4	0.0052626789025142905	0	0	5.622613119335077	48.94812231437539	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Metabolism Homo sapiens R-HSA-1430728	46/1908	1.682913585644168E-4	0.0052626789025142905	0	0	1.893561309773514	16.45469520747	N6AMT1;PECR;COX7B;ACADVL;RPL10;UQCRB;COX18;UCP1;APIP;ATP5C1;TRMT112;ESD;RPS3;CHP1;RPS2;RPL39;ACOT9;NDUFA8;GSTM1;NDUFA4;MBOAT7;NME2;RPL23A;HS3ST5;GNG12;SDHB;ATP5J2;COX6B1;COQ3;RPS27;RPS29;UQCRQ;FABP7;LPCAT3;CPTP;BLVRB;SUCLG1;SLC25A10;UQCRC2;FAR2;HAGH;GCLM;UBA52;ITPA;PNPLA2;B4GALT5
TP53 Regulates Metabolic Genes Homo sapiens R-HSA-5628897	7/84	1.7278289146421748E-4	0.0052626789025142905	0	0	6.565508021390374	56.88011272936435	COX7B;RRAGA;NDUFA4;COX18;MTOR;COX6B1;LAMTOR5
Cap-dependent Translation Initiation Homo sapiens R-HSA-72737	8/114	1.9920530761731556E-4	0.005600733841086834	0	0	5.462647079300981	46.54816936884945	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Eukaryotic Translation Initiation Homo sapiens R-HSA-72613	8/114	1.9920530761731556E-4	0.005600733841086834	0	0	5.462647079300981	46.54816936884945	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Transcriptional Regulation by TP53 Homo sapiens R-HSA-3700989	14/348	4.0604760632253123E-4	0.010993362971176679	0	0	3.066523556660264	23.946605569620345	COX7B;NDUFA4;COX18;CHM;MTOR;COX6B1;RRAGA;CNOT6;CASP6;TAF9B;UBA52;POLR2J;LAMTOR5;POLR2L
p75NTR recruits signalling complexes Homo sapiens R-HSA-209543	3/13	6.924736733180608E-4	0.017455112248120776	0	0	21.425	155.87202423082323	NGFR;IRAK1;UBA52
NF-kB is activated and signals survival Homo sapiens R-HSA-209560	3/13	6.924736733180608E-4	0.017455112248120776	0	0	21.425	155.87202423082323	NGFR;IRAK1;UBA52
rRNA processing Homo sapiens R-HSA-72312	9/180	9.859485787719227E-4	0.024024280369409182	0	0	3.810916179337232	26.378804924198676	TRMT112;RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Asparagine N-linked glycosylation Homo sapiens R-HSA-446203	11/259	0.0010808755146415926	0.024565118022681073	0	0	3.222842441020703	22.011961999070603	DCTN6;RAB1A;SEC13;SEC23IP;DPM3;TRAPPC1;DAD1;CHST10;MAN1C1;DOLK;B4GALT5
Mitochondrial translation initiation Homo sapiens R-HSA-5368286	6/84	0.0011425636289619104	0.024565118022681073	0	0	5.534798534798535	37.495386095917866	MRPL30;MRPS36;MRPL18;MRPS18B;MRPS21;MRPL46
Mitochondrial translation termination Homo sapiens R-HSA-5419276	6/84	0.0011425636289619104	0.024565118022681073	0	0	5.534798534798535	37.495386095917866	MRPL30;MRPS36;MRPL18;MRPS18B;MRPS21;MRPL46
Mitochondrial translation elongation Homo sapiens R-HSA-5389840	6/84	0.0011425636289619104	0.024565118022681073	0	0	5.534798534798535	37.495386095917866	MRPL30;MRPS36;MRPL18;MRPS18B;MRPS21;MRPL46
p75NTR signals via NF-kB Homo sapiens R-HSA-193639	3/16	0.001314527735026268	0.02745485069440577	0	0	16.47826086956522	109.32136051211945	NGFR;IRAK1;UBA52
Mitochondrial translation Homo sapiens R-HSA-5368287	6/90	0.0016328637323642975	0.033156205232175044	0	0	5.1378859236002095	32.97197144541562	MRPL30;MRPS36;MRPL18;MRPS18B;MRPS21;MRPL46
Transport to the Golgi and subsequent modification Homo sapiens R-HSA-948021	8/162	0.0020167032848461236	0.0398435162492572	0	0	3.7508027028322233	23.278573574964362	DCTN6;RAB1A;SEC13;SEC23IP;TRAPPC1;CHST10;MAN1C1;B4GALT5
Organelle biogenesis and maintenance Homo sapiens R-HSA-1852241	12/326	0.002193660605171405	0.04219910269421834	0	0	2.777785729621413	17.006114297535223	MRPL30;CCT3;MRPS36;ARL6;MRPL18;MRPS18B;RHO;MRPS21;IFT122;TUBB4B;WDR35;MRPL46
Major pathway of rRNA processing in the nucleolus Homo sapiens R-HSA-6791226	8/166	0.0023477008580501607	0.044004341723965834	0	0	3.65509832313513	22.12913044977151	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
mTORC1-mediated signalling Homo sapiens R-HSA-166208	3/22	0.003398393198758038	0.06210563570730314	0	0	11.27116704805492	64.07041424148245	RRAGA;MTOR;LAMTOR5
IKK complex recruitment mediated by RIP1 Homo sapiens R-HSA-937041	3/24	0.00437567649809049	0.07801511024644263	0	0	10.196687370600413	55.38528706880351	SARM1;UBE2V1;UBA52
Sulfur amino acid metabolism Homo sapiens R-HSA-1614635	3/25	0.004921620432155729	0.08565963180728187	0	0	9.732707509881424	51.72075078066783	APIP;SLC25A10;GCLM
Formation of the ternary complex, and subsequently, the 43S complex Homo sapiens R-HSA-72695	4/50	0.005158451556222608	0.08769367645578434	0	0	6.221343873517786	32.76855746738839	RPS27;RPS29;RPS3;RPS2
Energy dependent regulation of mTOR by LKB1-AMPK Homo sapiens R-HSA-380972	3/28	0.0067979784341743645	0.11293914171321501	0	0	8.563478260869566	42.741433252955275	RRAGA;MTOR;LAMTOR5
Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	11/335	0.007662451781743925	0.12236890021567264	0	0	2.4572392666298137	11.970252544640275	RPS27;RPL10;RPS29;RPS3;APIP;SLC25A10;RPL23A;RPS2;GCLM;RPL39;UBA52
IRAK1 recruits IKK complex Homo sapiens R-HSA-937039	2/10	0.00810427583890057	0.12236890021567264	0	0	17.791516245487365	85.6726174976294	IRAK1;UBE2V1
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation Homo sapiens R-HSA-975144	2/10	0.00810427583890057	0.12236890021567264	0	0	17.791516245487365	85.6726174976294	IRAK1;UBE2V1
Ribosomal scanning and start codon recognition Homo sapiens R-HSA-72702	4/57	0.008202566498724978	0.12236890021567264	0	0	5.397735849056604	25.926988789817145	RPS27;RPS29;RPS3;RPS2
Translation initiation complex formation Homo sapiens R-HSA-72649	4/57	0.008202566498724978	0.12236890021567264	0	0	5.397735849056604	25.926988789817145	RPS27;RPS29;RPS3;RPS2
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662	4/58	0.008715567089222092	0.12742159084442697	0	0	5.297508417508418	25.124199327657767	RPS27;RPS29;RPS3;RPS2
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling Homo sapiens R-HSA-975110	2/11	0.009814597747874463	0.1406759010528673	0	0	15.813878860810268	73.12154832936902	IRAK1;UBE2V1
Infectious disease Homo sapiens R-HSA-5663205	11/348	0.010020234061579064	0.14086136728873647	0	0	2.360866291686966	10.867418894575989	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;TAF9B;RPL39;UBA52;POLR2J;POLR2L
Phase II conjugation Homo sapiens R-HSA-156580	5/100	0.013101996528688006	0.18070866910322514	0	0	3.7698809066461774	16.34239849556295	N6AMT1;TRMT112;GSTM1;ESD;GCLM
