""	"Gene.name"	"logFC"	"logCPM"	"F"	"PValue"	"Gene.type"	"Gene.description"	"NCBI.gene..formerly.Entrezgene..ID"	"de"
"ENSMUSG00000075706.10"	"Gpx4"	-2.61191694574175	10.0335485669078	68.7661100841014	3.43944338044345e-10	"protein_coding"	"glutathione peroxidase 4 [Source:MGI Symbol;Acc:MGI:104767]"	625249	"down"
"ENSMUSG00000034892.8"	"Rps29"	2.88003680162761	9.43155804329154	61.4172360548046	4.06770936786798e-09	"protein_coding"	"ribosomal protein S29 [Source:MGI Symbol;Acc:MGI:107681]"	20090	"up"
"ENSMUSG00000011096.17"	"Akt1s1"	-2.75245725694087	6.31342919947611	47.5700146183997	2.74455948261911e-08	"protein_coding"	"AKT1 substrate 1 (proline-rich) [Source:MGI Symbol;Acc:MGI:1914855]"	67605	"down"
"ENSMUSG00000040010.10"	"Slc7a5"	-2.28143004350272	7.02589557815641	45.7686303357402	4.18387166163152e-08	"protein_coding"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 [Source:MGI Symbol;Acc:MGI:1298205]"	20539	"down"
"ENSMUSG00000061904.12"	"Slc25a3"	2.55380820148427	7.65886529707856	46.557173973273	4.59518983335097e-08	"protein_coding"	"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3 [Source:MGI Symbol;Acc:MGI:1353498]"	18674	"up"
"ENSMUSG00000029622.16"	"Arpc1b"	2.22153280878431	7.45800133712184	43.0519764824936	8.04319317131493e-08	"protein_coding"	"actin related protein 2/3 complex, subunit 1B [Source:MGI Symbol;Acc:MGI:1343142]"	11867	"up"
"ENSMUSG00000098274.7"	"Rpl24"	-2.00251016158879	11.1326352254943	42.8025416018843	8.55016372834079e-08	"protein_coding"	"ribosomal protein L24 [Source:MGI Symbol;Acc:MGI:1915443]"	68193	"down"
"ENSMUSG00000028796.17"	"Phc2"	-2.27455076182346	7.85009297258682	42.4652260947046	9.28979394871029e-08	"protein_coding"	"polyhomeotic 2 [Source:MGI Symbol;Acc:MGI:1860454]"	54383	"down"
"ENSMUSG00000025613.13"	"Cct8"	-2.72631589578445	11.2579972263292	50.5212030838634	1.04321460982054e-07	"protein_coding"	"chaperonin containing Tcp1, subunit 8 (theta) [Source:MGI Symbol;Acc:MGI:107183]"	12469	"down"
"ENSMUSG00000041037.8"	"Irgq"	-2.09557344064004	8.45227744494752	40.6140509607386	1.47410827474109e-07	"protein_coding"	"immunity-related GTPase family, Q [Source:MGI Symbol;Acc:MGI:2667176]"	210146	"down"
