Gene type	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID	Gene stable ID version
protein_coding	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]	14679	ENSMUSG00000000001.4
protein_coding	Apoh	apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]	11818	ENSMUSG00000000049.11
protein_coding	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]	67608	ENSMUSG00000000056.7
protein_coding	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]	12390	ENSMUSG00000000058.6
protein_coding	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]	29871	ENSMUSG00000000085.16
protein_coding	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]	21385	ENSMUSG00000000093.6
protein_coding	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]	18053	ENSMUSG00000000120.6
protein_coding	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]	216795	ENSMUSG00000000126.11
protein_coding	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]	74204	ENSMUSG00000000131.15
protein_coding	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]	209446	ENSMUSG00000000134.17
protein_coding	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]	231841	ENSMUSG00000000148.17
protein_coding	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]	14673	ENSMUSG00000000149.10
protein_coding	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]	18400	ENSMUSG00000000154.16
protein_coding	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]	235339	ENSMUSG00000000168.9
