"","Nonpeptidergic Nociceptor_1","Nonpeptidergic Nociceptor_2","Nonpeptidergic Nociceptor_3","Peptidergic Nociceptor_1","Peptidergic Nociceptor_2","Peptidergic Nociceptor_3","C-LTMR_1","C-LTMR_2","C-LTMR_3","Aδ-LTMR_1","Aδ-LTMR_2","Aδ-LTMR_3","Aβ RA-LTMR_4","Aβ RA-LTMR_5","Aβ RA-LTMR_1","Aβ RA-LTMR_2","Aβ RA-LTMR_3","Aβ SA1-LTMR_1","Aβ SA1-LTMR_2","Aβ SA1-LTMR_3","Aβ Field-LTMR_1","Aβ Field-LTMR_2","Aβ Field-LTMR_3","Proprioceptor_1","Proprioceptor_2","Proprioceptor_3"
"ENSMUSG00000090025",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951",1191,929,1057,1244,1033,1400,1189,1486,2448,397,252,267,143,62,725,496,1093,783,1210,1480,854,111,303,135,358,329
"ENSMUSG00000089699",1,1,4,0,2,0,1,1,8,0,0,3,1,0,0,4,2,0,1,0,0,0,1,0,2,2
"ENSMUSG00000088333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025900",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025902",1,9,2,1,7,2,1,0,0,167,63,52,2,0,0,0,0,0,0,0,0,1,4,4,1,0
"ENSMUSG00000096126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000098104",2,2,6,4,1,3,2,2,5,2,2,6,5,3,3,6,2,1,3,3,2,1,3,4,6,4
"ENSMUSG00000088000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033845",1590,1131,1694,912,786,785,592,864,1157,690,571,2074,690,1575,2789,2231,1897,2404,1364,2133,949,220,2302,560,2292,2558
"ENSMUSG00000025903",3079,2029,3011,1577,1310,1443,1118,1743,2440,887,947,1685,725,1102,1810,1288,1427,1794,1592,2051,1043,396,1478,1060,3217,3560
"ENSMUSG00000033813",628,453,650,840,628,734,414,612,865,512,344,335,100,236,481,412,462,480,352,569,408,124,500,113,375,450
"ENSMUSG00000062588",3,2,0,2,0,2,0,6,1,6,2,0,1,8,3,1,1,0,0,0,1,0,0,2,5,0
"ENSMUSG00000002459",58,40,29,340,251,276,72,68,127,359,232,164,155,152,268,272,309,61,69,375,91,58,62,108,341,373
"ENSMUSG00000091305",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085623",3,0,1,6,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ENSMUSG00000091665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033793",8136,5969,8124,5352,4108,4435,2965,4271,6178,2280,2046,8092,2388,4993,6422,6785,7480,12492,7040,9329,3733,935,6978,2432,8394,9405
"ENSMUSG00000025905",6,1,15,1147,703,667,142,104,250,28,18,70,100,109,367,396,368,74,12,0,228,37,94,10,15,40
"ENSMUSG00000093015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033774",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,4,0,0,0,1,20
"ENSMUSG00000025907",11131,8157,10835,14585,12419,13551,9142,13023,19620,12601,8809,8508,3020,4392,11518,10094,12474,9993,11687,14639,10131,2708,8752,2346,6339,7254
"ENSMUSG00000090031",4,3,6,4,8,8,7,6,6,3,0,10,0,0,0,2,3,1,0,1,0,1,0,8,2,4
"ENSMUSG00000073741",0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
"ENSMUSG00000087247",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033740",5,7,3,3,9,5,27,49,51,1,0,0,0,0,0,0,1,0,0,0,11,0,0,7,0,0
"ENSMUSG00000051285",3202,2186,2980,7327,5932,6227,3969,5509,7926,3878,2719,2788,1182,1535,5205,4528,4877,4617,5386,5942,4557,967,4299,964,3863,4392
"ENSMUSG00000098201",1,0,7,8,6,1,1,1,3,5,1,3,1,0,1,0,6,2,0,2,0,0,0,0,0,1
"ENSMUSG00000048538",0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,5,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",1,7,2,1,0,1,0,1,3,0,0,1,1,0,5,0,5,0,0,0,1,0,1,1,5,12
"ENSMUSG00000025909",211,132,194,516,486,574,651,739,1041,842,965,660,308,587,820,637,723,891,669,648,118,72,74,306,631,676
"ENSMUSG00000086235",3,3,5,2,0,3,3,2,3,0,0,1,0,1,4,1,1,1,4,0,2,0,2,1,0,2
"ENSMUSG00000093970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000076135",1,0,0,2,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1
"ENSMUSG00000086195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066693",0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,1,2,0,0,3,0,0,0,0,2,0
"ENSMUSG00000065625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061024",245,154,146,289,207,239,205,264,359,362,306,274,68,62,336,232,268,195,139,266,249,62,255,47,194,174
"ENSMUSG00000025911",134,65,25,86,82,54,51,61,105,49,16,38,18,92,86,45,26,1,8,31,35,9,35,2,24,59
"ENSMUSG00000079671",77,30,23,17,18,12,31,28,37,1,2,8,0,0,19,14,6,2,2,0,5,1,3,0,0,1
"ENSMUSG00000081441",1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067879",6,2,1,0,1,4,1,0,0,0,0,0,0,0,5,26,1,0,37,7,4,1,3,1,0,8
"ENSMUSG00000025912",449,408,516,594,525,511,421,579,721,337,216,262,143,166,459,449,580,308,265,478,386,116,443,124,268,384
"ENSMUSG00000045210",6371,4708,6186,9555,8351,9740,5387,7343,10371,10817,6515,6560,2832,3660,9096,8790,11750,8767,9567,9410,9732,2872,6507,2126,7937,8284
"ENSMUSG00000097893",5,3,2,2,3,3,6,4,2,1,0,6,5,18,1,6,10,8,0,19,13,3,8,12,1,3
"ENSMUSG00000025915",484,270,303,682,535,601,184,206,424,441,313,314,73,165,239,143,256,214,118,147,232,74,257,39,203,230
"ENSMUSG00000046334",3,5,4,1,2,0,0,0,2,1,0,1,1,0,1,2,4,2,0,2,1,0,0,0,1,1
"ENSMUSG00000088916",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046101",29,4,4,31,24,35,8,3,30,6,3,4,12,15,19,19,34,1,2,4,24,4,26,8,5,9
"ENSMUSG00000098234",214,136,192,65,65,71,45,63,147,130,76,71,24,24,67,29,28,39,12,97,39,34,87,28,116,118
"ENSMUSG00000093178",0,1,0,1,2,5,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099032",1,0,0,5,0,1,0,0,0,4,1,1,0,0,0,1,1,0,0,2,0,0,0,1,4,2
"ENSMUSG00000073738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025916",0,0,0,3,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000087199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025917",11600,7787,10185,8687,7062,7377,5335,6993,9187,3667,3968,8625,3715,6412,8083,7467,7286,10167,7941,11810,6067,1621,8434,2957,7870,8568
"ENSMUSG00000056763",419,365,509,853,764,807,576,801,1189,486,370,247,169,56,360,361,399,511,187,395,437,106,373,173,293,377
"ENSMUSG00000067851",13888,10615,13682,15329,12856,14013,11035,15723,23191,10201,8620,10729,4550,6741,15201,13371,17392,13731,14283,18780,12573,2265,9608,3808,11831,12473
"ENSMUSG00000088153",1,4,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
