""	"Media_FC"
"Adtrp"	"8.20984693691124"
"Akr1c14"	"7.0347797826181"
"Edn1"	"6.951103943651"
"Sox17"	"6.80191810021497"
"Csf2rb"	"6.7210114617309"
"Adra1a"	"6.71756315250274"
"Gm26512"	"6.6948408623027"
"Bhmt2"	"6.67989010266259"
"Mpzl2"	"6.6641082472133"
"Dmgdh"	"6.64632179831455"
"Gvin-ps7"	"6.63422427042376"
"Gjb4"	"6.60286003469899"
"Smoc2"	"6.29840507952391"
"Cytl1"	"6.12279696397204"
"Cxcl12"	"6.07256038779869"
"Meox2"	"6.05844615097628"
"Tgfbi"	"6.03785343011724"
"Dipk2b"	"5.95853766884299"
"En1"	"5.93900773819959"
"Aplnr"	"5.92111397213041"
"Thbs4"	"5.9185778850773"
"Gimap4"	"5.90388594722763"
"Cox6a2"	"5.83658788939066"
"Gm16565"	"5.80381965023788"
"Gimap8"	"5.80328060360343"
"Car4"	"5.78703037078805"
"Bhlhe22"	"5.77689972616884"
"Cd93"	"5.72432056417296"
"Gm13711"	"5.67881803310806"
"Six2"	"5.67434328765227"
"Mndal"	"5.6583185284691"
"Gm14199"	"5.65187424260798"
"Ctla2b"	"5.63572627523736"
"Zic1"	"5.59164761350668"
"Fn1"	"5.58796841224321"
"Rasgrp3"	"5.56967935283063"
"Bcl6b"	"5.55765143757627"
"Emcn"	"5.55467306279323"
"Fam167b"	"5.51198925067671"
"Stab1"	"5.50585900061526"
"Flt1"	"5.49942449885598"
"Aspn"	"5.49871245634852"
"Tie1"	"5.49796425347838"
"Slco1a4"	"5.48272091564782"
"Gm11730"	"5.48226763638838"
"4930544I03Rik"	"5.47912161044107"
"Robo4"	"5.40758169041297"
"Dio2"	"5.39930110506928"
"Cd300lg"	"5.38792989599764"
"Hhex"	"5.37413816638626"
"Adcy4"	"5.36596198545833"
"1700125G02Rik"	"5.36136038998038"
"Gm16331"	"5.35856445881595"
"2700046A07Rik"	"5.34858456347265"
"Cyyr1"	"5.33928593568911"
"Gata2"	"5.3371694834396"
"Lamc3"	"5.30869454251697"
"C430049B03Rik"	"5.27793426871421"
"Pi15"	"5.25629423517432"
"Cldn11"	"5.24417949035257"
"Gimap1os"	"5.22641175756673"
"Bmx"	"5.21989316524583"
"Slc39a8"	"5.2116610137589"
"Zfp366"	"5.18435564508112"
"Ifi203-ps"	"5.1698669762246"
"Igfbp6"	"5.16736666111677"
"Lypd2"	"5.15722522761208"
"Sh3tc1"	"5.15109924095678"
"B4galnt3"	"5.13773548542265"
"Scn5a"	"5.1338902692361"
"Gm15826"	"5.13386090731713"
"AW112010"	"5.13076348453404"
"Gm11232"	"5.12884944941377"
"Tbx3os1"	"5.1218641180748"
"Doxl1"	"5.11483976985946"
"Tbx3os2"	"5.1049919841452"
"Prom1"	"5.1031785151259"
"Olfr1454"	"5.09796658391914"
"Heph"	"5.09257491948594"
"Xirp1"	"5.08439024167296"
"Gbp4"	"5.08005759380496"
"5031434C07Rik"	"5.07911353373004"
"Lypd1"	"5.06624614895796"
"Cd40"	"5.05200107017045"
"Cfh"	"5.04966364490094"
"Gm25578"	"5.04736142616723"
"Cabp2"	"5.03566505598028"
"Rps18-ps4"	"5.03002731068773"
"Slfn5"	"5.01431338145919"
"Gimap5"	"4.99402331240066"
"Nat8f5"	"4.98013821223813"
"9930111J21Rik2"	"4.96633749769652"
"Hspb7"	"4.96402498878872"
"Cdh5"	"4.96026964920684"
"Stc1"	"4.94774911218055"
"Carmn"	"4.93070880025437"
"Tmem204"	"4.88336664379241"
"Gm12315"	"4.87665504944867"
"Npr1"	"4.87271825659332"
"Ace2"	"4.86659641404523"
"Vtn"	"4.85933103117779"
"Gm12637"	"4.85746884532742"
"Flt4"	"4.85208437417585"
"Olfr48"	"4.85042614513516"
"Galnt15"	"4.83547003139504"
"Mpig6b"	"4.82285981789105"
"Gm25357"	"4.8145247171164"
"Tek"	"4.81293025284249"
"Gcg"	"4.79896833540114"
"Gbp9"	"4.79812532658423"
"1700042G15Rik"	"4.78323957499527"
"5330413P13Rik"	"4.77497170071509"
"Sall4"	"4.77408576336366"
"Nr5a1"	"4.7639002150357"
"Egfr"	"4.75950710107626"
"Gpihbp1"	"4.75606325116598"
"Cdcp3"	"4.75239489779376"
"Atp12a"	"4.74089594276256"
"Gli1"	"4.73193580936364"
"Gm17191"	"4.72954488940787"
"Cd38"	"4.72804316035706"
"Glb1l3"	"4.72328328988658"
"Xcr1"	"4.72227241117059"
"Klhl30"	"4.71276466875802"
"Olfr1258"	"4.71050657955201"
"Colq"	"4.69749578388541"
"Gm11867"	"4.67959321608723"
"Igf2"	"4.67560381254627"
"Cadps2"	"4.67338764871998"
"Ifi203"	"4.66827143414009"
"Gimap1"	"4.65215604489996"
"Foxf2"	"4.64371936992429"
"Aipl1"	"4.64117792533601"
"Spam1"	"4.62769203034228"
"Gm26838"	"4.62644356879182"
"Gm11764"	"4.62543763383644"
"Klk4"	"4.61934387620313"
"Fgf10"	"4.61820108024877"
"Pmaip1"	"4.59433781748162"
"Gm13203"	"4.58562514386931"
"Sox18"	"4.5771337649292"
"BC016579"	"4.57408519563437"
"Actg2"	"4.56169164580356"
"Vsir"	"4.55221941727245"
"Prelp"	"4.54524570434898"
"Gm5535"	"4.5404405462383"
"Mall"	"4.53931265648683"
"Rergl"	"4.53145634798589"
"Slc38a8"	"4.52671452775706"
"Erg"	"4.52552863885931"
"Adgrl4"	"4.51765297919269"
"Gm11762"	"4.51467284166441"
"Nostrin"	"4.51045079518605"
"Sema5b"	"4.50936378587986"
"Gm14261"	"4.50681661614769"
"Olfr1259"	"4.50562182022192"
"Unc45b"	"4.50367333946729"
