"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"1" 0 2.47888233094941 1 0.504 0 "0" "Ctxn3"
"2" 0 2.38249515308879 0.91 0.396 0 "0" "Ly86"
"3" 0 2.32732361027395 0.974 0.078 0 "0" "Mrgprd"
"4" 0 2.16481394293988 0.948 0.092 0 "0" "Lpar3"
"5" 0 2.14486031911964 0.976 0.155 0 "0" "Gm765"
"6" 0 1.95124446270793 1 0.995 0 "0" "Txn1"
"7" 0 1.94438313560142 0.999 0.651 0 "0" "Cd55"
"8" 0 1.90501361746175 0.999 0.661 0 "0" "Ppp1r1a"
"9" 0 1.76130878984559 1 0.682 0 "0" "Synpr"
"10" 0 1.67414591054452 0.957 0.291 0 "0" "Klhl5"
"11" 0 1.9172630572071 0.945 0.692 0 "1" "Tac1"
"12" 0 1.87008217703589 1 0.794 0 "1" "Calca"
"13" 0 1.83012333129009 0.907 0.173 0 "1" "Cdhr1"
"14" 0 1.67319665251185 0.963 0.511 0 "1" "S100a11"
"15" 0 1.56884390113583 0.992 0.621 0 "1" "Ngfr"
"16" 0 1.56783048722876 0.837 0.281 0 "1" "Pcp4l1"
"17" 0 1.50996086856696 0.916 0.3 0 "1" "Lcorl"
"18" 0 1.46300465301526 0.875 0.336 0 "1" "Tagln2"
"19" 0 1.45770919286709 0.999 0.882 0 "1" "Map7d2"
"20" 0 1.431931917778 0.836 0.267 0 "1" "Tmem100"
"21" 0 2.09099555553221 1 0.65 0 "2" "6330403K07Rik"
"22" 0 1.83798144525151 0.977 0.228 0 "2" "Gal"
"23" 0 1.80117843193177 0.992 0.289 0 "2" "Adcyap1"
"24" 0 1.78436499074358 1 0.697 0 "2" "Nrsn1"
"25" 0 1.76253947522562 0.917 0.267 0 "2" "Gpx3"
"26" 0 1.68235267147158 0.987 0.609 0 "2" "Jun"
"27" 0 1.64713224502127 0.97 0.681 0 "2" "Pcp4"
"28" 0 1.59891747412901 0.685 0.206 0 "2" "Gpsm3"
"29" 0 1.53297596552913 0.879 0.213 0 "2" "Marcksl1"
"30" 0 1.50580162199547 0.999 0.688 0 "2" "Tac1"
"31" 0 3.85735226117554 1 0.176 0 "3" "Gm7271"
"32" 0 3.03159051454324 0.995 0.247 0 "3" "Rarres1"
"33" 0 2.87883386218223 0.995 0.261 0 "3" "Cdkn1a"
"34" 0 2.74952816586587 0.983 0.21 0 "3" "Fam19a4"
"35" 0 2.73905452081235 0.964 0.12 0 "3" "Wfdc2"
"36" 0 2.59682080100189 0.984 0.569 0 "3" "Hspb1"
"37" 0 2.5242684925465 0.999 0.887 0 "3" "Ostf1"
"38" 0 2.31964604734721 0.985 0.158 0 "3" "Rgs5"
"39" 0 2.29059215736788 0.999 0.574 0 "3" "Iqsec2"
"40" 0 2.25321000357211 0.997 0.376 0 "3" "Fxyd6"
"41" 0 2.31801139621719 1 0.633 0 "4" "Ngfr"
"42" 0 2.11535352829533 0.95 0.318 0 "4" "Vat1l"
"43" 0 1.88493765428614 0.944 0.267 0 "4" "Kit"
"44" 0 1.76753283188304 0.78 0.211 0 "4" "Nrp2"
"45" 0 1.72394582052155 1 0.705 0 "4" "Gap43"
"46" 0 1.69387686398281 0.524 0.093 0 "4" "Trappc3l"
"47" 1.05420126727648e-242 2.02267759564909 0.576 0.157 1.88480644576362e-238 "4" "Cartpt"
"48" 5.18373629360536e-211 1.73867063743367 0.575 0.172 9.26800211933702e-207 "4" "Nos1"
"49" 9.63231698639448e-209 1.72365811397535 0.893 0.581 1.72216195399747e-204 "4" "Ptn"
"50" 2.93351145065592e-154 2.14456517266229 0.648 0.273 5.24482512262772e-150 "4" "Gal"
"51" 0 3.76618273353954 1 0.737 0 "5" "Jak1"
"52" 0 3.39527830906142 0.985 0.008 0 "5" "Nppb"
"53" 0 3.18412673791549 0.996 0.13 0 "5" "Osmr"
"54" 0 2.97871632340733 0.975 0.014 0 "5" "Htr1f"
"55" 0 2.89027683251008 0.893 0.004 0 "5" "Sst"
"56" 0 2.81781903368108 0.992 0.114 0 "5" "Npy2r"
"57" 0 2.75648869125086 0.943 0.02 0 "5" "Gm525"
"58" 0 2.65637584712321 0.945 0.009 0 "5" "Il31ra"
"59" 0 2.50877167452429 0.974 0.114 0 "5" "Fam178b"
"60" 0 2.24487280448729 1 0.688 0 "5" "Adk"
"61" 0 2.25534301065113 0.987 0.165 0 "6" "P2ry1"
"62" 0 2.20177243930983 0.994 0.227 0 "6" "Fam19a4"
"63" 0 2.13125856859228 0.924 0.122 0 "6" "Th"
"64" 0 2.11949347215996 1 0.584 0 "6" "Iqsec2"
"65" 0 2.07986732056896 0.99 0.176 0 "6" "Rgs5"
"66" 0 1.96361761002329 1 0.847 0 "6" "Piezo2"
"67" 0 1.9509394626821 0.995 0.463 0 "6" "Kcnd3"
"68" 0 1.80380419827404 0.962 0.151 0 "6" "Zfp521"
"69" 0 1.79817586789336 0.984 0.363 0 "6" "Nrp1"
"70" 0 1.79248963108398 0.948 0.178 0 "6" "Pou4f2"
"71" 0 1.52621555120118 0.953 0.221 0 "7" "Mrgprd"
"72" 1.13785436523578e-304 2.22657788579101 0.998 0.664 2.03436981960505e-300 "7" "Bhlhe41"
"73" 1.05048172797086e-291 2.35283025492098 1 1 1.8781562814391e-287 "7" "Actb"
"74" 1.30272724156514e-272 1.51654036068461 0.892 0.297 2.32914603519432e-268 "7" "Rpgrip1"
"75" 7.15303285414866e-271 1.48837545489675 1 1 1.27889074399324e-266 "7" "Gnb1"
"76" 5.37047993825229e-269 1.53849112597986 0.997 0.775 9.60188108160127e-265 "7" "Ythdf2"
"77" 1.32199674834759e-243 1.47843810631586 0.997 0.878 2.36359798637066e-239 "7" "Inpp4a"
"78" 2.41848914112499e-235 1.43642684140822 0.998 0.896 4.32401673541736e-231 "7" "Otub1"
"79" 1.36161443176144e-209 1.42864392722825 0.951 0.552 2.43443044254628e-205 "7" "Insig1"
"80" 1.15201017364204e-200 1.58700858448589 1 0.582 2.05967898945461e-196 "7" "Ctxn3"
"81" 0 3.33771302485544 0.996 0.51 0 "8" "Cntn1"
"82" 0 2.86815794700061 1 0.755 0 "8" "Nefh"
"83" 0 2.67186835358044 1 0.847 0 "8" "Nefm"
"84" 0 2.57699323831435 0.996 0.278 0 "8" "Thy1"
"85" 0 2.44710064406098 1 0.948 0 "8" "Atp1b1"
"86" 1.74122533571809e-303 2.62503539216428 0.995 0.561 3.11313677773038e-299 "8" "S100b"
"87" 1.11600761183e-268 2.53595494888206 0.933 0.39 1.99531000919086e-264 "8" "Hopx"
"88" 7.40057525162354e-203 2.81237995082977 0.886 0.437 1.32314884923777e-198 "8" "Ntrk3"
"89" 4.35352981450269e-87 2.36957033617979 0.856 0.593 7.78367595534936e-83 "8" "Fxyd7"
"90" 2.11745123939221e-71 2.32870274222961 0.434 0.178 3.78579107090934e-67 "8" "S100a16"
"91" 0 3.65956534706425 0.971 0.277 0 "9" "Crip1"
"92" 0 2.65835047559283 0.947 0.025 0 "9" "Mrgpra3"
"93" 0 2.39167226419593 0.98 0.387 0 "9" "Smyd3"
"94" 0 2.14985790255162 0.747 0.038 0 "9" "Gm567"
"95" 0 2.0871709792562 0.943 0.108 0 "9" "Gda"
"96" 0 2.04954870896517 0.974 0.333 0 "9" "Kcnmb1"
"97" 0 1.9355485682153 0.994 0.283 0 "9" "Etv1"
"98" 0 1.90580014227014 0.952 0.164 0 "9" "Cav1"
"99" 0 1.88215778459536 0.897 0.157 0 "9" "Rspo1"
"100" 1.06173506696448e-206 2.15033891473173 0.809 0.278 1.8982761262258e-202 "9" "Ifi27l2a"
"101" 8.14528209099569e-245 1.78570961231579 1 0.943 1.45629498504912e-240 "10" "Meg3"
"102" 7.98917963992095e-229 1.74437929671763 0.917 0.33 1.42838542782147e-224 "10" "Rprm"
"103" 1.60431552160637e-221 1.87538868098884 1 0.724 2.86835572108003e-217 "10" "Chchd10"
"104" 1.443425915539e-208 2.02225589911499 1 0.983 2.58070119439218e-204 "10" "Malat1"
"105" 9.83703414329103e-184 1.41115032918771 0.942 0.451 1.758763334479e-179 "10" "Bex1"
"106" 3.11304351051457e-180 2.64093585200102 0.98 0.697 5.565810492449e-176 "10" "Pcp4"
"107" 2.29812432930045e-156 1.41639573726514 0.766 0.312 4.10881648835627e-152 "10" "Ndrg1"
"108" 3.25951367190397e-133 2.12672989151872 0.71 0.359 5.82768449399711e-129 "10" "Hjurp"
"109" 1.3506165046973e-124 1.41446679513208 0.99 0.706 2.41476724874831e-120 "10" "Tac1"
"110" 1.23103917705e-98 1.67357576967315 0.994 0.83 2.20097494464769e-94 "10" "Lxn"
"111" 1.4016111078809e-215 2.32702503717999 0.961 0.422 2.50594049978027e-211 "11" "Apoe"
"112" 8.94213072161145e-210 1.54155995727457 0.818 0.218 1.59876355171691e-205 "11" "Rgcc"
"113" 6.44096911972085e-197 1.37952750988656 0.879 0.255 1.15158086891489e-192 "11" "Marcksl1"
"114" 7.57479348633026e-197 1.58201122130754 0.99 0.333 1.35429732742099e-192 "11" "Adcyap1"
"115" 1.39186275014273e-179 1.82232435597072 0.937 0.333 2.48851141098018e-175 "11" "Fabp7"
"116" 6.37995045698117e-176 1.45928066687481 0.906 0.312 1.14067134220366e-171 "11" "Plp1"
"117" 1.49489489325596e-172 1.35212263192508 0.896 0.305 2.67272257965233e-168 "11" "Gpm6b"
"118" 3.33218869350882e-172 1.34622796008385 0.852 0.28 5.95762016512441e-168 "11" "Sparc"
"119" 9.2203962428819e-144 1.44757025570411 0.998 0.672 1.64851464426486e-139 "11" "6330403K07Rik"
"120" 1.48466418691443e-136 1.63928939450844 1 0.885 2.6544310997843e-132 "11" "Dbi"
