"","P-Value","Avg_LogFC","Pct-Paclitaxel","Pct-Controle","P-Value_Ajd"
"Tuba1a",9.32411476673071e-48,-0.437506548335335,0.962,0.984,2.07144533657689e-43
"Zwint",1.18933518076291e-30,0.414536660008639,0.747,0.606,2.64222703758288e-26
"Zc3hc1",7.63498608021151e-22,-0.309787377318538,0.068,0.217,1.69618850757979e-17
"Rtn1",7.69645141028197e-21,-0.30194040560543,0.795,0.879,1.70984364530824e-16
"Ctsd",3.75490901864297e-19,-0.304466241073593,0.402,0.559,8.34190587581722e-15
"Hsp90aa1",1.1294886188639e-18,-0.305693039708053,0.821,0.898,2.50927191566805e-14
"Nefl",3.3175514328571e-18,-0.309189936103096,0.988,0.995,7.37027226323534e-14
"Tubb4b",5.73137030788139e-17,-0.29295989732418,0.564,0.706,1.27328122759893e-12
"Hopx",1.7700004304114e-14,0.320750930717286,0.628,0.515,3.93223295620197e-10
"Hspa8",3.05269285233564e-14,-0.268546898176784,0.708,0.782,6.78186244074885e-10
"Map7d2",3.50258379065882e-14,0.257702698962295,0.852,0.767,7.78134014932764e-10
"S100a6",3.85314054449292e-14,-0.285595553829584,0.217,0.356,8.56013703364547e-10
"Nefm",7.49304070881199e-14,-0.302159927970656,0.95,0.972,1.66465392386967e-09
"Cacnb4",7.30717122337105e-10,0.255667194287517,0.525,0.423,1.62336115898411e-05
"Ppp3ca",7.68338654454154e-09,0.251909896114389,0.819,0.739,0.000170694115473535
"Htr3a",6.34738530537727e-06,0.259512937079078,0.316,0.244,0.141013511944262
