gene_id_(GENCODE vM10)	gene_short_name	locus	DRG_normal_input1_TPM	DRG_normal_input2_TPM	DRG_normal_input3_TPM	DRG_normal_input4_TPM	DRG_normal_TRAP1 _TPM	DRG_normal_TRAP2_TPM	DRG_normal_TRAP3_TPM	DRG_normal_TRAP4_TPM	DRG_CIPN_input5_TPM	DRG_CIPN_input6_TPM	DRG_CIPN_input7_subsample1_TPM	DRG_CIPN_input7_subsample2_TPM	MERGED_DRG_CIPN_input7_TPM	DRG_CIPN_input8_TPM	DRG_CIPN_TRAP5_TPM	DRG_CIPN_TRAP6_TPM	DRG_CIPN_TRAP7_subsample1_TPM	DRG_CIPN_TRAP7_subsample2_TPM	MERGED_DRG_CIPN_TRAP7_TPM	DRG_CIPN_TRAP8_TPM
ENSMUSG00000000001.4	Gnai3	chr3:108107279-108146146	228.61	109.99	113.21	98.92	57.87	126.71	94.38	50.06	84.08	110.82	79.99	49.70	60.84	56.76	48.29	93.88	71.91	41.50	49.33	31.86
ENSMUSG00000000003.15	Pbsn	chrX:77837900-77853623	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000028.14	Cdc45	chr16:18780446-18835261	2.57	0.86	2.35	1.41	0.10	6.90	3.31	0.00	1.23	1.54	2.13	3.28	2.86	2.30	0.07	0.00	0.00	0.75	0.55	0.57
ENSMUSG00000000037.16	Scml2	chrX:161117192-161258213	2.16	0.63	0.41	1.41	11.67	0.07	2.01	0.84	1.23	0.65	0.93	2.03	1.63	1.22	0.07	0.00	0.00	0.00	0.00	1.13
ENSMUSG00000000049.11	Apoh	chr11:107933386-108414396	2.71	7.69	3.32	0.00	9.33	4.59	11.62	0.00	2.04	1.37	0.27	3.28	2.17	1.84	23.26	7.40	0.00	0.00	0.00	3.50
ENSMUSG00000000056.7	Narf	chr11:121237252-121255856	31.86	46.60	47.24	61.88	0.45	45.55	49.44	18.92	61.60	70.65	44.00	38.13	40.29	41.62	23.46	37.72	35.25	18.76	23.01	42.27
ENSMUSG00000000058.6	Cav2	chr6:17197750-17385604	68.53	46.05	67.27	36.80	24.99	6.97	20.56	6.53	56.60	50.28	59.86	82.99	74.48	66.55	25.09	15.10	9.84	76.19	59.09	27.80
ENSMUSG00000000078.6	Klf6	chr13:5861488-5870393	105.89	99.55	108.72	89.31	40.96	74.55	76.25	32.99	140.16	137.74	85.06	90.96	88.79	71.60	31.91	56.15	38.44	36.02	36.64	26.19
ENSMUSG00000000085.16	Scmh1	chr4:120405280-120530186	13.84	25.26	19.55	20.86	16.11	5.03	16.07	9.38	27.89	29.10	32.80	24.54	27.57	26.01	6.68	16.08	9.19	1.08	3.17	14.56
ENSMUSG00000000088.6	Cox5a	chr9:57521231-57543187	44.11	151.41	90.90	31.41	4.54	66.39	103.43	31.14	125.04	110.98	104.52	93.77	97.72	94.25	239.08	171.77	342.37	95.78	159.33	126.23
